lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,40GFP1,40GFP2,40GFP3,40GFP4,40GFP5,5GFP1,5GFP2,5GFP3,5GFP4,5GFP5,SolventBlank1
PEo (34:1),-1.1875317808382393,8.560126047951975,33.520003697196444,7.053481812956323e-9,3.591849969366989e-7,704.559 -> 563.559,PE,139643.490508989,111071.987213123,138041.709777799,133463.769927928,127130.868560829,310683.497169492,244507.318878213,272574.118926989,213641.234314052,314655.019149936,60637.484374992
PGp (38:6),1.1677787435260525,9.517964817761536,32.444273162767786,1.226598920350619e-8,6.014877668682295e-7,796.5223 -> 607.5223,PG,575461.670409722,523593.266357843,473808.555603109,917694.122070317,456138.369018258,279285.617309528,244090.498565781,264267.598449812,194818.013854973,213113.956481856,84023.126892065
1-O-cerotoyl-Cer(d18:1/16:0),1.1466902877747702,9.821975310108295,31.312274476371638,2.196862998603317e-8,1.0388023607681399e-6,916.9 -> 264.3,CER,809797.749412544,427748.345329186,373516.10640724,1630191.248581,445241.630767771,266670.118026768,317746.224540673,289563.407699424,304848.616909178,314691.145080582,99590.0082358899
PE (32:5),-1.1186773546922202,6.8418672923068735,29.82788388792141,4.721522020908355e-8,2.155619019200918e-6,682.4444 -> 541.4444,PE,31813.761810296,29527.542312615,29039.881896986,28235.002273558,82239.56620789,123501.327545291,122286.268218956,40800.722900394,38986.702682502,82296.646087604,18926.8813285761
PG (36:0),1.0857902140814757,9.387929332659644,28.14673936922281,1.1245696722016494e-7,4.9631008199832795e-6,796.5798 -> 607.5798,PG,526802.913513135,457741.432067721,414179.404785099,851150.92065418,392306.67047122,264421.717346239,239615.518676757,244651.696899399,181980.331420899,202911.912353453,80406.226135188
PGo (40:0),1.0791870532719414,7.380622608249869,27.807858476793175,1.3398079462870264e-7,5.722276518980719e-6,838.6631 -> 649.6631,PG,140219.068481435,106400.146575917,70015.785888689,252410.583343509,73167.685424757,54882.183197011,64554.16455074,50753.844116203,53284.202987714,51302.163528454,30182.402404798
Lyso_PG(22:1),-1.0630979349057508,5.848149444936823,26.989485404357282,2.045652230376445e-7,8.46388610318254e-6,584.3584 -> 395.3584,PG,7616.1604537953,8195.5605316166,22317.7412834101,32656.1026077251,27388.3820381143,39029.9822768784,39291.6828270088,37110.6828727965,35797.7227935748,36055.162460287,17796.5814971869
PI (26:0),-1.0561438178653775,8.780682095152422,26.662130367836653,2.4232464584823275e-7,9.722358518274551e-6,744.4393 -> 467.4393,PI,149002.25115966,185812.313171372,189935.9334717,153690.610351595,123948.309082085,348402.279052524,355393.16223138,325113.711242622,270813.319580091,241898.715087912,69812.024841298
PI (28:1),-1.0544540852527813,8.679058160769143,26.578566581740233,2.530354031459494e-7,9.853496287212852e-6,770.455 -> 493.455,PI,151877.970214861,178323.632873628,200315.655120859,134410.70870963,97127.646331731,368651.968902649,342681.90301515,311380.703613307,235409.115203904,204270.015106247,49804.423522954
Cer(t18:0/20:0(2OH)),1.0505069978503179,12.017291234692065,26.38636179715013,2.795070815354286e-7,1.0573353598654499e-5,628.6 -> 282.4,CER,2712155.54272437,3131956.94262657,3059627.69140589,3167641.34973176,3282091.49951122,888446.45507808,1450985.73608466,1356309.36437982,1661229.18511985,1476208.02508551,854046.993164065
PE (34:1),-1.038501562042094,12.333893705487265,25.7991377357248,3.788576856526285e-7,1.393354377233556e-5,718.5383 -> 577.5383,PE,2050209.3793938,2040401.24633784,2106846.40930171,2122280.08319161,1753829.02331486,3929729.20928999,2903902.99206542,4196364.79003936,3552963.73596189,4377001.94677797,204218.67285154
PI (32:2),-1.0359440224763399,9.560720375122198,25.673737348712166,4.04291723317854e-7,1.4467087612779425e-5,824.5019 -> 547.5019,PI,221099.075744617,290284.619201757,428103.789917096,269515.301086495,246900.060180554,566192.046234132,556470.279418341,640990.254333519,432946.545471715,561795.278015054,45658.303405737
PGp (34:4),-1.0187984682758582,7.55620537185655,24.843845371597126,6.216721422723817e-7,2.1660366220227198e-5,744.491 -> 555.491,PG,61857.284011786,42381.703399613,36043.002746582,41049.522918706,173060.596404956,239773.111755421,223632.954467753,44166.882873548,44739.143005345,121579.467712366,19998.4416961626
PG (38:8),1.0073255098181406,7.580291608063973,24.298199367498,8.251616295798459e-7,2.8013179424710665e-5,808.4859 -> 619.4859,PG,111260.689300504,75954.905944861,83390.544860804,390883.352172379,83211.125610368,60109.764144886,74150.985687244,72025.32485962,58507.784454359,66894.984909041,28562.221954338
PEo (36:2),-0.9974226351964337,12.303357394243415,23.836609996273182,1.0486882189819287e-6,3.4711580048301844e-5,730.5746 -> 589.5746,PE,2251093.527099,1243417.2664801,2120734.75781259,1883084.17633047,2026222.5513911,4487030.93518109,3054995.87292565,3481178.34753386,2423920.0495617,3942954.8566896,822351.2499999
PG (34:6),-0.9964281391952909,7.705694072204173,23.785709819836484,1.076789373755079e-6,3.4772417825651815e-5,756.4546 -> 567.4546,PG,61969.224136335,45574.123184204,40707.002990719,56375.203491198,182424.692993103,266369.338424758,227510.533203191,55775.844207723,49550.323135372,123030.808578459,34480.202194209
"Cer(d14:2(4E,6E)/16:0)",-0.9562643530308733,6.364880476093551,21.933406944793205,2.8227699018022434e-6,8.898446071395643e-5,480.4 -> 206.3,CER,38900.1428947297,30153.3421783464,28747.8419341948,27799.8021011341,28282.1621933086,48985.444103246104,48581.9837493803,53850.3845519995,64692.3432388401,57423.284622193,17557.7811927738
PG (22:1),-0.9547549869948333,5.776851228486509,21.859196416527027,2.934070129588775e-6,9.034206631571019e-5,584.3658 -> 395.3658,PG,7129.4005508429,9274.1006507851,20541.5015258702,29371.3620567249,30447.2221336462,36053.3621291967,36490.4622573493,35400.1826744163,29460.0817565922,34743.72249606,18089.4012184073
PE (22:4),0.9454190427584254,5.448569252509495,21.43319400644009,3.6637317538596292e-6,1.1024501913886702e-4,530.3242 -> 389.3242,PE,34867.3232116353,26622.0616378912,26258.4223556152,26637.6613540222,15082.7009010336,33569.0026283599,23024.0014190163,1797.9001121524,1585.060115814,1955.4801292404,25524.8219452221
