lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,5GFP1,5GFP2,5GFP3,5GFP4,5GFP5,40GFP1,40GFP2,40GFP3,40GFP4,40GFP5,SolventBlank1,,Name,5 GFP,40 GFP
TAG(52:6)_FA 16:0,-0.167439208,9.611614456,1.45329479,0.22800001,0.831657181,868.7 -> 595.7,TAG1,115756.9482,112754.2278,125961.5687,110707.7069,132792.3291,143193.7695,156472.0503,195916.8129,139775.5692,136554.7106,48965.46345,,,,
TAG(56:0)_FA 18:2,-0.168178027,8.732263401,1.465796083,0.22601015,0.831657181,936.9 -> 639.896,TAG2,58159.34387,66813.30511,82805.28717,61210.04465,75168.92529,91935.90625,85637.20581,84453.68646,88547.14651,93171.32727,13627.60103,,,,
TAG(58:2)_FA 20:0,-0.168503987,8.916244291,1.471572257,0.225097791,0.831657181,960.9 -> 631.9,TAG2,73303.10486,81256.66534,80737.90552,69274.10492,82820.44629,102655.108,90702.78625,97562.78668,99456.48633,110592.1685,17591.5613,,,,
TAG(50:2)_FA 18:0,0.165064961,12.18998328,1.412769923,0.234597114,0.847648063,850.8 -> 549.8,TAG1,742225.752,815917.5771,828997.3037,764415.1875,841655.4648,748995.8945,734885.9302,991783.9521,817370.793,809208.9512,302219.7613,,,,
TAG(54:7)_FA 18:2,0.163534223,9.311543655,1.386270164,0.239035991,0.855614808,894.8 -> 597.8,TAG2,112971.6483,109396.4277,132426.5292,81689.48536,144680.8706,126576.4487,101833.9471,131875.8886,115636.2682,120202.2694,18437.10131,,,,
TAG(58:5)_FA 16:1,-0.161832146,8.295033792,1.356962912,0.24406453,0.865525138,954.8 -> 683.8,TAG1,43410.44293,48857.94363,45787.82367,45995.70361,48574.52356,82561.84625,53783.94397,49972.06372,65594.66425,49133.84357,25238.58168,,,,
TAG(60:4)_FA 18:1,0.160262505,10.22073924,1.331620373,0.248517156,0.873230007,984.9 -> 685.896,TAG2,229073.777,231763.1754,177157.5321,214792.5957,264277.2971,394540.9889,139565.77,142922.1299,326247.442,164743.7525,13406.96101,,,,
TAG(56:6)_FA 16:1,0.158627143,8.573509211,1.303934716,0.253495751,0.875862077,924.8 -> 653.8,TAG1,62260.42468,61144.98462,59514.40405,59917.26422,60538.96423,77214.6051,53742.80371,56521.26404,62636.50476,64689.26526,37882.78283,,,,
TAG(60:3)_FA 16:1,-0.158543724,7.917407064,1.302045523,0.253839923,0.875862077,986.9 -> 715.9,TAG1,37435.62283,34321.68231,32947.96234,32552.52216,36797.92273,60701.80359,37651.44278,39781.06281,50667.58435,36525.70226,22963.30151,,,,
TAG(60:0)_FA 18:1,-0.157725712,8.087385712,1.288924977,0.256246158,0.876270345,992.9 -> 693.9,TAG2,38708.64276,46231.88315,45023.56342,39479.04279,47304.26329,63439.32454,48179.78339,52243.2235,61204.60434,53531.42371,11560.2408,,,,
TAG(52:0)_FA 20:0,-0.155766327,11.0090083,1.258080822,0.262014678,0.879218846,880.8 -> 551.8,TAG2,278404.5404,352898.2467,387172.9858,288908.9033,380298.585,478182.697,368315.7854,415946.2664,414461.708,484508.4363,59062.38404,,,,
TAG(60:4)_FA 18:2,-0.155168277,8.359398324,1.247684352,0.263995215,0.879218846,984.9 -> 687.9,TAG2,51557.28387,55119.58386,53899.04364,49460.90338,54176.54388,94117.62677,53947.26373,54512.0842,79922.62561,58507.84442,11973.70079,,,,
TAG(60:4)_FA 20:0,-0.15649533,7.744471457,1.268613109,0.260027021,0.879218846,984.9 -> 655.9,TAG2,29871.94202,36640.00244,37255.20288,32225.76227,36021.10278,54131.52417,39074.4227,38210.46281,44152.82309,45443.16345,8340.500614,,,,
TAG(52:2)_FA 18:0,0.154284752,12.16717467,1.234346824,0.266563347,0.879468814,876.8 -> 575.8,TAG1,741217.1514,814846.2197,801428.2578,741392.332,818924.7783,735111.2292,727875.2275,988755.6172,792893.6367,809931.5986,296840.3187,,,,
TAG(60:12)_FA 18:1,-0.153411065,7.673719652,1.219016581,0.269553735,0.879468814,968.9 -> 669.9,TAG2,27157.52188,34823.34259,33115.84238,29826.9223,34460.12265,54372.20386,35181.88251,32401.8024,42531.34247,40052.26297,11244.14083,,,,
TAG(60:2)_FA 16:0,-0.152953546,7.906503164,1.21188532,0.27095906,0.879468814,988.9 -> 715.9,TAG1,36701.06281,33717.7023,34572.08282,33056.88239,35990.34256,60466.86438,36627.28278,41336.70303,48969.10336,37178.84253,22110.88146,,,,
TAG(48:3)_FA 18:1,0.151955636,8.984899485,1.196845005,0.273953173,0.881714834,818.8 -> 519.8,TAG1,83445.5658,86501.58594,89444.76642,81088.32605,82078.4859,95504.22601,74121.96558,99008.68695,84628.12549,86500.56604,37941.40276,,,,
TAG(48:1)_FA 18:2,-0.144371187,9.735148665,1.080646738,0.298552921,0.952881407,822.8 -> 525.8,TAG2,124527.1093,153317.7914,151978.13,112240.5477,165957.1909,221637.6748,134438.6689,161530.4309,172711.472,211785.5364,19716.60142,,,,
TAG(52:6)_FA 20:0,0.141125512,8.743623691,1.032347701,0.309607897,0.979998551,868.7 -> 539.7,TAG2,98606.20703,110646.7678,49785.06375,40707.00299,94289.94586,82340.24554,101371.3077,77174.98569,57128.90442,87967.9071,9644.200653,,,,
TAG(56:0)_FA 20:0,0.139119758,11.86060236,1.003700153,0.316416833,0.985265422,936.9 -> 607.9,TAG2,545758.2607,839110.9761,737741.7266,575936.6631,701170.6094,755781.957,607842.1411,796379.5181,673176.0093,711988.5259,92726.246,,,,
TAG(60:12)_FA 18:0,-0.139712055,7.863655463,1.011184371,0.314619267,0.985265422,968.9 -> 667.9,TAG1,33777.38229,36233.34277,32102.48215,33534.00241,34385.3624,56966.08441,35099.58221,37058.78235,44593.14334,43459.26321,21342.00157,,,,
TAG(48:0)_FA 16:0,0.065729142,13.73784874,0.22412583,0.635914066,0.999345107,824.8 -> 551.8,TAG1,2142504.82,2382334.084,2346433.289,2126726.461,2262265.111,2242095.463,2299054.994,2830170.527,2551498.328,2457255.951,906740.4431,,,,
TAG(48:0)_FA 16:1,0.087119099,10.11257444,0.393625747,0.530399686,0.999345107,824.8 -> 553.8,TAG1,181324.772,195588.593,178147.5718,171428.5107,182027.1152,199652.3552,171406.8318,219963.0552,197052.7539,199066.1536,79988.56588,,,,
TAG(48:0)_FA 18:0,0.130092055,11.56377293,0.877688639,0.348835525,0.999345107,824.8 -> 523.8,TAG1,501368.7197,540689.3784,534549.4385,474633.9941,517120.2607,497776.8745,479542.2144,665505.0493,545810.3379,515658.998,188790.5133,,,,
TAG(48:0)_FA 18:1,-0.075895045,9.674651678,0.298724589,0.584683096,0.999345107,824.8 -> 525.8,TAG1,127090.4302,152871.6901,123807.0676,124485.5874,139121.5103,198563.374,114175.408,183670.0521,137949.6104,181266.8332,36564.64267,,,,
TAG(48:0)_FA 18:2,-0.00602416,8.4170312,0.001881541,0.965401227,0.999345107,824.8 -> 527.796,TAG2,54769.06396,55436.78397,63574.30444,52372.72333,63592.10486,84010.74579,60729.06421,56089.36382,69327.56488,65463.58508,12813.88095,,,,
TAG(48:1)_FA 16:1,0.057327292,13.76450059,0.170493552,0.679673545,0.999345107,822.8 -> 551.8,TAG1,2191628.498,2427658.15,2320430.809,2162805.051,2328000.18,2341530.342,2313575.242,2863594.902,2583077.771,2546336.09,927480.0617,,,,
TAG(48:1)_FA 18:1,0.117331556,11.72127766,0.714002153,0.398118387,0.999345107,822.8 -> 523.8,TAG1,556464.8188,601623.1821,580953.9219,540153.2583,558056.4985,566506.5576,531526.1982,724338.8926,590327.146,603926.4863,219186.1345,,,,
TAG(48:2)_F A18:0,0.124185098,8.920682063,0.799464461,0.371253535,0.999345107,820.8 -> 519.8,TAG1,80219.54553,80438.68604,81355.38611,75843.3252,81089.16602,95688.22656,70867.04517,93797.34631,83744.2854,79425.52582,37257.44283,,,,
TAG(48:2)_FA 18:2,-0.013414916,12.29563866,0.009336321,0.923024486,0.999345107,820.8 -> 523.8,TAG2,762179.5889,924291.2041,976046.0654,710666.6675,969002.8271,921505.2549,908282.6895,1108058.864,1046144.213,1041209.243,137061.8893,,,,
TAG(48:3)_FA 18:0,-0.020925958,8.088601293,0.02269727,0.880246981,0.999345107,818.8 -> 517.8,TAG1,42373.74304,44227.40305,40508.54285,40404.98322,41172.38293,49526.36353,40605.9827,46572.16339,66255.68475,41737.82275,24001.24165,,,,
TAG(50:0)_FA 16:0,0.061462372,13.07100521,0.195972328,0.657991699,0.999345107,852.8 -> 579.8,TAG1,1371895.118,1509743.486,1423145.064,1374968.27,1446125.064,1523997.534,1444600.343,1682116.271,1606754.18,1609894.475,539857.4401,,,,
TAG(50:0)_FA 16:1,0.043248373,9.822792579,0.097011483,0.755445882,0.999345107,852.8 -> 581.8,TAG1,140477.4297,149894.9709,148148.4106,141020.8103,147788.8298,179119.3127,147603.9103,169256.9316,161708.1721,157014.812,68583.32469,,,,
TAG(50:1)_FA 18:0,0.032228048,13.29158295,0.053885223,0.816435563,0.999345107,852.8 -> 551.8,TAG1,1545200.986,1740167.16,1652756.369,1551080.148,1710415.336,1784683.107,1681847.098,2057831.686,1827276.928,1881848.463,647376.7663,,,,
TAG(50:1)_FA 18:1,0.08677185,10.105616,0.390494037,0.532039829,0.999345107,852.8 -> 553.8,TAG1,183725.2734,195140.0942,181571.3328,161534.9316,181649.4937,200872.1746,174021.1731,211919.895,195708.4143,198396.854,80324.4463,,,,
TAG(50:1)_FA 18:2,0.021076133,8.069176301,0.023025915,0.8793897,0.999345107,852.8 -> 555.8,TAG2,42512.62299,47774.02308,49862.78351,38181.98315,51465.70349,57059.68411,44894.90295,47923.08326,58588.0838,52068.18335,10418.76075,,,,
TAG(50:2)_FA 16:1,0.072960498,13.16573238,0.276146176,0.599238347,0.999345107,850.8 -> 579.8,TAG1,1456734.806,1637444.161,1556668.707,1462264.665,1513929.213,1614381.66,1533331.11,1829167.25,1700126.176,1675228.968,585730.2822,,,,
TAG(50:2)_FA 18:1,0.058883902,13.90941127,0.179877745,0.671478326,0.999345107,850.8 -> 551.8,TAG1,2419617.043,2671409.516,2558566.291,2385535.346,2605006.32,2636326.705,2620439.58,3081717.855,2792593.705,2833227.934,1029334.53,,,,
TAG(50:2)_FA 18:2,-0.004810021,10.35805178,0.001200155,0.972364214,0.999345107,850.8 -> 553.8,TAG2,205104.0547,237372.9763,235136.8374,193332.6536,246466.3979,238841.7964,231241.4167,269463.8556,271528.9775,276622.6599,47583.78296,,,,
TAG(50:3)_FA 18:2,-0.033555037,14.19835724,0.058414645,0.809019435,0.999345107,848.8 -> 551.8,TAG2,2889955.803,3416690.538,3511593.223,2803696.237,3453896.061,3477121.974,3514505.426,4050463.147,3858502.646,3982547.756,526914.9184,,,,
TAG(50:4)_FA 18:0,-0.026609617,9.407591005,0.036723211,0.848029682,0.999345107,846.8 -> 545.8,TAG1,102005.6669,108527.7086,139181.8322,96190.68701,123185.2881,120750.448,91303.88757,168488.9536,114401.0068,174141.7905,27933.22217,,,,
TAG(52:0)_FA 16:0,0.122979303,12.06523905,0.784384769,0.375803467,0.999345107,880.8 -> 607.8,TAG1,672599.6084,810736.2959,723269.1533,708245.8691,732215.1514,793112.3994,711339.6123,781131.0166,808815.5791,762704.4731,254866.058,,,,
TAG(52:0)_FA 16:1,0.032466165,9.387461923,0.054664869,0.815136217,0.999345107,880.8 -> 609.8,TAG1,99774.78625,112043.9673,101244.5282,107276.5076,110505.2284,139037.9701,108356.6873,120405.5676,119906.0287,111884.9083,53978.36429,,,,
TAG(52:0)_FA 18:0,0.118308852,13.57011143,0.725981253,0.39418893,0.999345107,880.8 -> 579.8,TAG1,1987432.438,2134348.734,2109682.184,1939910.182,2056178.215,2069403.878,2093282.869,2326603.949,2120320.442,2231699.223,788117.7762,,,,
TAG(52:0)_FA 18:1,0.120240012,10.34522828,0.749737578,0.386559328,0.999345107,880.8 -> 581.8,TAG1,206182.3945,220870.6765,219165.6567,205996.8542,220837.2168,233616.917,207953.3755,235150.157,229016.3538,232302.7351,98146.40711,,,,
TAG(52:0)_FA 18:2,0.053410126,8.21835715,0.147873314,0.700576037,0.999345107,880.8 -> 583.8,TAG2,46463.30309,52219.08404,54947.82416,44187.76325,52965.90405,65515.72412,50047.00391,51082.50354,58269.42438,53453.86414,15883.76109,,,,
TAG(52:0)_FA 20:4,-0.005371572,7.850499163,0.001495457,0.969152581,0.999345107,880.8 -> 559.8,TAG2,34192.70211,41664.30263,39797.40297,37571.72255,40348.34274,52332.52393,40888.04279,40322.64288,44738.98325,45650.9834,10069.56076,,,,
TAG(52:1)_FA 16:0,0.087752652,12.97543852,0.399449172,0.527373864,0.999345107,878.8 -> 605.8,TAG1,1287213.27,1408634.23,1348781.224,1289309.218,1327452.016,1346181.216,1385749.646,1570624.078,1419588.856,1491706.043,548313.6193,,,,
TAG(52:1)_FA 16:1,0.120379942,12.17072971,0.751589256,0.385973529,0.999345107,878.8 -> 607.8,TAG1,724887.3262,853938.04,786877.2773,759447.8916,786663.79,832653.3379,759355.9326,858480.9033,853028.5654,841457.5601,279329.0617,,,,
TAG(52:1)_FA 18:0,0.082955415,14.27801058,0.356981436,0.550187467,0.999345107,878.8 -> 577.8,TAG1,3143547.622,3389272.912,3356210.863,3146651.322,3333954.75,3343232.074,3328123.779,3978705.15,3529445.012,3616460.516,1377658.163,,,,
TAG(52:1)_FA 18:1,0.103201745,14.12943115,0.552455005,0.457316312,0.999345107,878.8 -> 579.8,TAG1,2866836.336,3169049.998,3029583.824,2809741.492,3063084.703,3035433.569,3039500.678,3351223.67,3263426.354,3307462.418,1202944.222,,,,
TAG(52:1)_FA 18:2,-0.022497898,10.29306514,0.026255418,0.871278106,0.999345107,878.8 -> 581.8,TAG2,188523.2737,224596.5172,219354.155,191055.0737,234788.9756,247878.0364,229236.1368,253607.1372,256208.877,248233.1772,47482.30334,,,,
TAG(52:1)_FA20:0,-0.067709929,9.381766754,0.237755476,0.625831949,0.999345107,878.8 -> 549.8,TAG2,100709.1866,116221.228,115076.9879,96533.30724,120487.7878,124436.3488,123936.5287,145718.0491,137263.1503,129392.6086,28543.82196,,,,
TAG(52:2)_FA 16:0,0.125424496,13.16610949,0.81590158,0.366381179,0.999345107,876.8 -> 603.8,TAG1,1512257.549,1614267.727,1579766.165,1449308.971,1627089.17,1539559.628,1517500.772,1855161.206,1622434.151,1678703.296,575327.4188,,,,
TAG(52:2)_FA 16:1,0.08954509,13.07731111,0.415932407,0.518973704,0.999345107,876.8 -> 605.8,TAG1,1387143.583,1545628.191,1427268.143,1365937.712,1437902.489,1427925.899,1487274.886,1687539.602,1544510.469,1597398.104,583148.8847,,,,
TAG(52:2)_FA 18:1,0.0989317,14.75982816,0.507695604,0.476138117,0.999345107,876.8 -> 577.8,TAG1,4410229.52,4795011.723,4599860.855,4405398.621,4747805.75,4555636.278,4585828.25,5629895.324,4887753.023,5023139.219,1941547.847,,,,
TAG(52:2)_FA 18:2,0.00645851,14.08950307,0.002164112,0.962895781,0.999345107,876.8 -> 579.8,TAG2,2755517.473,3173064.494,3198665.756,2617732.593,3279592.27,3153767.079,3257261.633,3587864.795,3538920.097,3623390.592,547438.5953,,,,
TAG(52:2)_FA 20:0,0.015251578,8.383986208,0.012059803,0.912554401,0.999345107,876.8 -> 547.8,TAG2,52859.20417,60795.06432,62709.86438,48471.28313,59258.36414,68956.005,54622.92371,63127.64426,69067.16483,67894.72491,13628.12088,,,,
TAG(52:2)_FA 20:4,-0.035360492,7.76774047,0.064799359,0.799065134,0.999345107,876.8 -> 555.8,TAG2,34147.64246,37796.88284,40979.60312,30524.16184,37835.02304,50662.98343,42016.78281,39147.76257,42035.46329,39629.14294,9431.440578,,,,
TAG(52:3)_FA 16:1,0.128225489,13.27950006,0.852739667,0.355778453,0.999345107,874.8 -> 603.8,TAG1,1607533.745,1763573.064,1693249.28,1567570.61,1779283.061,1651521.099,1639957.492,2006151.773,1766232.991,1792041.204,634145.5049,,,,
TAG(52:3)_FA 18:2,0.013461269,14.75207035,0.009401302,0.922757913,0.999345107,874.8 -> 577.8,TAG2,4270039.436,5024256.745,5076817.523,4187158.552,5238082.109,4896532.403,5038511.855,5886714.779,5625348.128,5608205.174,898082.2334,,,,
TAG(52:3)_FA 20:0,-0.121959778,8.481089536,0.770981995,0.379913436,0.999345107,874.8 -> 545.8,TAG2,48479.52335,51752.46376,81961.42609,43247.52292,73386.78485,86153.58572,58908.14456,50713.56363,73200.245,104285.1266,8930.240597,,,,
TAG(52:3)_FA 20:4,-0.03445329,9.385295901,0.061562921,0.804042518,0.999345107,874.8 -> 553.8,TAG2,102372.4074,120876.4084,117510.1073,95172.4465,127532.6295,138025.5902,113024.368,134706.5894,132483.2097,145511.8492,24523.50163,,,,
TAG(52:4)_FA 18:0,0.077807959,8.297342029,0.313812331,0.575350155,0.999345107,872.8 -> 571.8,TAG1,51562.92365,51661.92334,55836.04358,48579.16354,49916.82336,68655.48529,50278.58319,55510.46429,56285.64368,51397.98358,22527.74152,,,,
TAG(52:4)_FA 18:2,0.11837223,12.75757865,0.726749636,0.393938791,0.999345107,872.8 -> 575.8,TAG2,1081305.23,1256822.146,1369615.9,1057905.26,1497873.493,1181852.923,1195154.602,1535911.569,1326822.371,1378527.522,181849.4319,,,,
TAG(52:4)_FA 20:0,-0.070468975,7.472080769,0.257273289,0.611999661,0.999345107,872.8 -> 543.8,TAG2,28879.58207,29671.08195,30298.4621,25033.94168,33055.98245,42375.5632,27900.52216,38092.86282,38083.08273,31901.60226,6863.240402,,,,
TAG(52:4)_FA 20:4,-0.065337692,13.03439241,0.221462342,0.637927939,0.999345107,872.8 -> 551.8,TAG2,1235509.847,1520986.277,1542195.27,1236524.689,1579013.799,1657606.875,1545833.314,1783745.681,1728879.042,1829565.623,224817.2168,,,,
TAG(52:5)_FA 18:1,0.121471713,8.427086992,0.764766464,0.381840974,0.999345107,870.8 -> 571.8,TAG1,56536.30414,57102.58411,58704.30377,56576.66412,58913.16412,73307.92603,53759.64374,61573.54419,60523.18427,56915.16406,23341.14165,,,,
TAG(52:5)_FA 20:0,0.059275321,7.478242205,0.18203567,0.669629623,0.999345107,870.8 -> 541.8,TAG2,26842.34172,31778.48226,34610.40225,24859.40198,34608.38239,42970.00288,27723.40219,31005.72211,35778.24258,31401.9223,8255.20063,,,,
TAG(52:5)_FA 20:4,0.07814036,11.81896542,0.316731444,0.57357858,0.999345107,870.8 -> 549.796,TAG2,544664.6191,676699.3694,678011.1719,564589.5605,738606.2183,645624.0273,631313.3604,767093.8377,715208.4092,722241.8154,108011.7272,,,,
TAG(52:6)_FA 18:0,0.068738376,9.174424142,0.245013232,0.620608512,0.999345107,868.7 -> 567.7,TAG1,89967.8064,100416.3871,92035.58691,89771.82678,98413.92651,109485.5677,85719.48602,114899.3094,103893.2672,104338.3071,42313.92284,,,,
TAG(52:6)_FA 18:2,0.024925817,8.566195419,0.032214164,0.857558429,0.999345107,868.7 -> 571.7,TAG2,57021.92396,62189.32436,76707.08557,58370.22412,74333.5257,84783.80634,69925.06519,69829.32488,74212.90503,72614.56494,11992.58087,,,,
TAG(52:6)_FA 20:4,0.065070338,10.35633664,0.219620788,0.639329011,0.999345107,868.7 -> 547.7,TAG2,195414.2337,234647.2949,255069.9771,194890.7333,274615.3987,246053.6387,221594.9348,280962.4185,262593.179,255980.0366,41215.7027,,,,
TAG(54:0)_FA 16:0,-0.014192276,9.840059337,0.010447286,0.918588432,0.999345107,908.9 -> 635.9,TAG1,140269.1305,148831.4905,147356.1497,139410.1501,145375.8906,177786.6722,146185.5692,185764.0519,167898.8716,163610.9309,69656.62497,,,,
TAG(54:0)_FA 16:1,0.020012762,8.784906319,0.020767057,0.885415348,0.999345107,908.9 -> 637.9,TAG1,65882.40479,71977.28479,69245.20526,69243.34521,64696.52441,92160.06604,68282.46429,77215.80548,77111.12549,74372.24567,40109.6231,,,,
TAG(54:0)_FA 18:2,-8.69E-04,8.145698033,3.91E-05,0.995008327,0.999345107,908.9 -> 611.9,TAG2,45266.08313,50162.92346,45002.14301,45450.84338,46237.06323,65240.96423,49980.64331,48498.66357,53701.94385,50760.94397,15969.68105,,,,
TAG(54:0)_FA 20:0,0.059716239,11.40419779,0.184985593,0.667123252,0.999345107,908.9 -> 579.9,TAG2,435391.2317,510951.4138,519569.5508,417648.6899,498434.8726,484920.6338,501884.8174,539594.7388,560454.1672,535107.2075,82887.88548,,,,
TAG(54:0)_FA 20:4,-0.078724343,8.136719145,0.321232556,0.570867864,0.999345107,908.9 -> 587.9,TAG2,43500.78308,47106.12354,48077.38361,42964.30298,50558.36365,62456.08456,47368.74377,53546.74396,65998.64398,53624.80414,10775.72079,,,,
TAG(54:1)_FA 16:0,0.002016057,9.990787084,2.11E-04,0.988415333,0.999345107,906.8 -> 633.8,TAG1,152725.5903,161474.7299,159965.0525,158661.6309,163656.2914,184854.9124,167971.6326,203788.5544,175392.373,185592.693,82943.34571,,,,
TAG(54:1)_FA 16:1,-0.01713124,10.17547285,0.01522307,0.901804765,0.999345107,906.8 -> 635.8,TAG1,170512.853,196455.1743,185916.6328,184265.2117,183313.1321,217483.957,191486.8743,243475.6589,210588.7957,211672.0349,80290.08511,,,,
TAG(54:1)_FA 18:0,0.080879741,14.08525836,0.339342161,0.560209186,0.999345107,906.8 -> 605.8,TAG1,2790239.281,2939322.729,2865904.339,2773330.619,2935221.629,2877771.485,2993508.972,3397373.722,3078708.437,3219075.709,1206751.995,,,,
TAG(54:1)_FA 18:2,0.099220115,9.792694906,0.510527532,0.47491058,0.999345107,906.8 -> 609.8,TAG2,134959.8098,165075.9314,166806.3723,140976.5901,169292.5938,172181.152,158718.4913,163118.0917,167323.2124,171720.3125,35515.32239,,,,
TAG(54:1)_FA 20:0,0.046048517,12.04642843,0.11000445,0.740139069,0.999345107,906.8 -> 577.8,TAG2,688974.9709,787754.6555,772776.7502,656574.5034,780441.4331,739859.7126,765361.3164,920622.2659,840488.8586,835179.7217,137052.9891,,,,
TAG(54:1)_FA 20:4,-0.050545025,7.986641199,0.132418515,0.715937502,0.999345107,906.8 -> 585.8,TAG2,39189.40253,44937.58319,46089.68326,37360.88239,43011.74338,52084.18359,38238.24274,41553.80304,74626.065,45099.70312,10380.38077,,,,
TAG(54:2)_FA 16:0,0.040446932,9.45656865,0.084843764,0.770837542,0.999345107,904.8 -> 631.8,TAG1,107431.5869,113717.0284,115149.9092,110651.1874,110594.8877,132943.1301,113232.7681,131187.6083,122329.5493,126162.9299,57108.80404,,,,
TAG(54:2)_FA 16:1,0.017313093,10.05529472,0.015547598,0.900768968,0.999345107,904.8 -> 633.8,TAG1,164732.9531,177876.9512,168545.9124,159715.4513,166201.912,191974.7327,177960.9939,210010.3154,183340.532,189915.1742,87236.24653,,,,
TAG(54:2)_FA 18:0,0.080927783,14.42936658,0.339746411,0.559975635,0.999345107,904.8 -> 603.8,TAG1,3471721.095,3823809.654,3672829.838,3507763.386,3718510.773,3671366.763,3736017.092,4481237.066,3903326.477,4008302.122,1513936.23,,,,
TAG(54:2)_FA 18:1,0.078258242,14.34913566,0.317704344,0.572990527,0.999345107,904.8 -> 605.8,TAG1,3308470.215,3639465.397,3460635.384,3277918.841,3438374.208,3436881.181,3604884.019,4054657.337,3704055.065,3857336.154,1477419.086,,,,
TAG(54:2)_FA 18:2,0.103225104,13.29369654,0.552699999,0.45721657,0.999345107,904.8 -> 607.8,TAG2,1607127.57,1929678.104,1946101.686,1566385.879,1961245.264,1891448.256,1821441.496,2019676.827,1882258.938,2011731.992,275217.7805,,,,
TAG(54:2)_FA 20:0,-0.021605835,9.960946,0.024213434,0.876343072,0.999345107,904.8 -> 575.8,TAG2,157440.5118,172647.2329,174570.9731,157468.5912,178718.5729,194559.5326,177629.0138,212298.8562,197001.8536,201471.9141,36830.58298,,,,
TAG(54:2)_FA 20:4,-0.109520433,7.818541697,0.621505619,0.430488338,0.999345107,904.8 -> 583.8,TAG2,33588.74243,38943.88268,38268.94281,32450.72241,38786.36288,57138.44391,38794.1828,36718.48245,53928.02411,39989.32269,10296.96084,,,,
TAG(54:3)_FA 16:0,-0.018997636,8.976052725,0.018715324,0.891185752,0.999345107,902.8 -> 629.8,TAG1,76928.36536,81162.32654,79031.20605,77827.28516,78255.38544,112281.947,77549.50543,94267.46729,89897.06616,87388.40619,39736.20266,,,,
TAG(54:3)_FA 16:1,0.030545287,9.5387147,0.048389633,0.825889505,0.999345107,902.8 -> 631.8,TAG1,114460.9884,122840.5295,119847.2883,115814.0081,116474.0485,147411.6509,122880.4286,142012.6901,124243.0693,129641.2689,59708.68415,,,,
TAG(54:3)_FA 18:0,0.135105537,12.22457068,0.946644732,0.330574825,0.999345107,902.8 -> 601.8,TAG1,808885.5366,846378.9619,850968.8027,761455.1816,858975.6934,781819.9321,766476.0537,1127068.031,795393.6128,859857.7207,260160.9184,,,,
TAG(54:3)_FA 18:1,0.099804559,14.65287943,0.516691597,0.472256375,0.999345107,902.8 -> 603.8,TAG1,4053935.081,4492433.173,4294326.066,4120603.307,4372945.436,4240106.695,4367733.035,5163897.496,4482705.182,4653894.226,1796999.307,,,,
TAG(54:3)_FA 18:2,0.006006091,14.27526713,0.001871545,0.965493191,0.999345107,902.8 -> 605.8,TAG2,3153684.612,3693622.599,3582874.935,3031610.939,3592239.762,3505642.242,3735307.433,4275867.066,3904782.467,4068136.796,639112.5445,,,,
TAG(54:3)_FA 20:0,0.053919032,8.366615386,0.150719253,0.69784896,0.999345107,902.8 -> 573.8,TAG2,54423.38422,56739.98407,57393.24402,52157.34399,64226.80505,69423.50476,57744.26428,65853.88495,65534.3645,57770.36407,12788.08088,,,,
TAG(54:3)_FA 20:4,0.016440145,9.57989446,0.014018318,0.905751536,0.999345107,902.8 -> 581.8,TAG2,117622.8683,144411.1692,136877.3094,112465.5481,142153.4501,154526.1299,135449.049,142043.8696,154199.2109,155927.672,29870.44209,,,,
TAG(54:4)_FA 16:1,-0.035935692,9.001443959,0.066964701,0.79580855,0.999345107,900.8 -> 629.8,TAG1,78820.90564,83726.52649,76431.56531,80861.62573,78014.50549,116325.5081,81102.86578,95941.08722,90053.92621,89134.62616,40228.50316,,,,
TAG(54:4)_FA 18:0,0.088654155,10.99390262,0.407662269,0.523158436,0.999345107,900.8 -> 599.8,TAG1,368015.6833,339664.582,363219.7673,305043.4619,392589.9683,305875.2629,337867.5222,528722.5376,387446.925,355012.1057,86901.10603,,,,
TAG(54:4)_FA 18:1,0.128436582,12.43642438,0.855532378,0.354991951,0.999345107,900.8 -> 601.8,TAG1,925829.748,960738.8018,972430.1641,901467.1445,997826.2695,917100.96,895915.3208,1286558.249,934221.3379,984483.9854,306730.0219,,,,
TAG(54:4)_FA 18:2,-0.001585607,14.5787307,1.30E-04,0.990887716,0.999345107,900.8 -> 603.8,TAG2,3838237.535,4509086.998,4448748.857,3713489.308,4477228.586,4404991.808,4535698.945,5411684.775,4784389.516,4983301.138,795104.0987,,,,
TAG(54:4)_FA 20:0,0.012204253,7.859887653,0.007719682,0.92998658,0.999345107,900.8 -> 571.8,TAG2,35085.12254,44041.323,41277.52277,34455.90234,42946.80295,57553.80368,41573.88309,38023.48248,43305.203,45256.80353,9246.180691,,,,
TAG(54:4)_FA 20:4,0.037861251,13.26960991,0.074368433,0.785079404,0.999345107,900.8 -> 579.8,TAG2,1551273.671,1852692.867,1827911.257,1550997.451,1833334.151,1789676.962,1839182.017,2074311.381,1926857.769,2003442.313,299978.8988,,,,
TAG(54:5)_FA 16:0,-0.061134214,8.540061621,0.193753315,0.659810954,0.999345107,898.8 -> 625.8,TAG1,54792.60437,56522.24396,57157.98437,53698.78387,54027.38379,102020.1473,51417.94354,59391.28412,59791.62408,62528.86487,36386.00288,,,,
