lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,42C1,42C2,42C3,42C4,42C5,7C1,7C2,7C3,7C4,7C5,SolventBlank1
Lyso_PI(15:0),-0.42632775107003074,8.417490041746033,4.129342243982137,0.04214572915444152,0.21544766563892115,576.2805 -> 299.2805,PI,866144.43457031,1866712.03808596,1926978.35253901,329781.886936154,2256870.28662122,1703294.31140127,1693591.26977531,1843056.98291007,1580338.61987298,3078483.79833924,65583.445129386
PC (40:10),0.4249969314478175,7.611575939321405,4.103661203408593,0.04279045710995084,0.21623879852509506,826.5 -> 184.1,PCandSM,954193.810119595,1327904.73931882,901646.98205561,1295167.8652344,1054468.79553235,921411.848083681,859711.588317902,1106860.93188465,557423.594909787,840228.960449085,21543.861633305
PE (34:6),0.42542492335427484,5.570789108718569,4.111644636949222,0.04258892795143384,0.21623879852509506,708.46 -> 567.46,PE,295551.339111122,271051.47720327,237368.836273226,243422.917450151,264227.357421887,230777.737365825,209970.07333371,205185.53588880599,181401.432373053,180226.274292133,22908.58154296
PI (44:10),-0.42547888774820064,1.9346161344291097,4.108006772804858,0.042680636036922945,0.21623879852509506,976.5645 -> 699.5645,PI,10960.280605314,15949.9011993523,15935.3612518431,5685.6804199216,17017.6411399818,22635.1015319889,17730.5613479544,17276.6212692243,14447.4610786513,18597.6813735988,10041.1606292697
C19:0,0.4246361133380111,9.240734084881526,4.096770665521035,0.0429652040608898,0.21629631245862393,297.3 -> 297.3,FFA,2399274.31652851,3232117.06176764,3553990.89392033,2753792.55285587,2979735.91589301,2379134.79211378,2068100.91955447,2765761.83874503,1857585.01501557,2438546.09191994,1072569.0904541
Lyso_PC(21:4),-0.4239923341814069,4.7867820153665575,4.083810600559333,0.04329591312815527,0.2163935571192466,558.3481 -> 184.1,PCandSM,126782.569656288,116239.507751435,78352.725647001,104853.326599109,99946.226806656,151993.829711882,148256.648513814,188689.093337975,122339.929550108,116405.68643189,38808.8826255756
Lyso_PI(22:2),-0.42400655992168274,3.5005609928677988,4.083206272792083,0.04331139927235676,0.2163935571192466,670.3588 -> 393.3588,PI,27436.7022895777,61760.4240416902,54897.5833778371,18470.6011886629,56458.3248749,52126.983680762,58739.5642090553,56028.5241623126,52866.2235564605,79581.606784777,14496.680953987
PI (20:2),-0.4226467781975627,3.655233791876718,4.057257293583916,0.04398187994924599,0.21809741218277784,642.3349 -> 365.3349,PI,37328.422348004,66401.4053955,57274.603759783,13864.6610374392,60106.204162562,87938.466033945,60410.704284668,58899.944244392,56785.324234015,60107.064346301,22036.3013839546
PIp (18:0),-0.42274823818123386,3.809536952984036,4.059328348042413,0.043927968272634704,0.21809741218277784,602.34 -> 325.34,PI,37764.242935189,73301.445861839,67646.604522646,13730.9810638424,67536.144897517,79737.725555434,66943.765380836,62936.623779312,64946.74476631,81677.185729978,25363.8817977907
PI (44:4),-0.42240069782903894,2.5709047096932323,4.050800909344844,0.044150393599225096,0.2181161236021419,988.6584 -> 711.6584,PI,14565.7809524449,27532.5823135294,27525.801990508,7587.6205444353,26649.1021919216,28746.6421432457,27530.2219161948,30807.7622985798,25291.4820404025,30013.4616470286,14451.9208717254
TAG(58:4)_FA 18:2,-0.42038568968968526,4.126681969482752,4.01454668445831,0.04510934842007956,0.22202519445422061,956.9 -> 659.9,TAG2,68641.184692385,62475.54479984,71014.96472166,73242.144470195,65734.9447822326,154191.31079102,75324.28552247,97825.96643067,81952.52563475,70459.50488281,18775.8612403846
PI (34:3),-0.4191258877244649,8.372507645224125,3.9914901583688334,0.045730603274881494,0.2242493286516411,850.5176 -> 573.5176,PI,1025125.29763805,1906654.81134023,1701178.21154781,450246.61608899,2014124.05761674,2345325.59629802,1841625.57769813,1486447.13946528,1975479.91741946,2046455.97668487,30305.882278452
TAG(54:8)_FA 16:1,0.4182330847205738,7.151246417971713,3.9744942652987447,0.046194323211476616,0.22568739458300754,892.7 -> 621.7,TAG1,566664.58544907,819633.51855464,754379.41259753,960837.29345716,633868.30859381,655374.44726574,577515.06005878,569214.70410136,579996.84130835,521198.2177734,134845.109466512
PG (12:0),0.4177638339845831,2.7298507581760885,3.9628064943469212,0.04651608902805785,0.22642390394539924,460.2042 -> 271.2042,PG,42048.382934578,25690.381561291,24659.341796873,31317.702148438,21387.141532895,22618.861480703,22978.481376651,21015.421508797,21919.101470954,23181.14152526,20216.0215301536
C16:0,-0.4172565150758482,10.050554915061245,3.956114793603774,0.04670137517515027,0.22649311623406213,255.3 -> 255.3,FFA,3097753.03808589,3501977.57812463,4162227.50048938,4519527.67456056,3355413.56250049,3847200.18334972,4120331.90771489,6262173.53784183,5031764.92431626,6362713.8430181,2380949.78808543
PEo (38:0),0.41672247882307945,6.423895940299551,3.945863729148186,0.04698672689581185,0.22704535186151417,762.6372 -> 621.6372,PE,540409.893310692,458208.947875925,421720.494140369,425842.871307473,454506.771667479,425105.070770364,368736.188018937,343135.943237321,324262.163818426,318441.883117714,69900.125900267
Lyso_PC(20:4),-0.4158663884201742,3.925610000268263,3.92887997133721,0.0474635457549979,0.22851539847133534,544.3325 -> 184.1,PCandSM,56561.583587641,78589.785919214,47527.663375843,65716.024810779,59881.264434838,53223.5234603757,92246.6475867564,119275.270172175,70676.944915851,84919.086349533,10188.620651246
PE (30:1),0.4147419107013319,10.825533570991716,3.9087465076736407,0.0480354126060759,0.23043074742914668,662.4757 -> 521.4757,PE,11901530.0610351,10092699.559571,9702424.4062492,9324473.81152436,10726635.0102534,8439084.60221845,7933765.54443399,7642736.17602544,8016978.05761766,7829752.57006766,44646.983459481
PG (20:5),0.4143467848352233,3.09361666786673,3.8992349262646693,0.04830810202949076,0.23090226385215082,548.2719 -> 359.2719,PG,60160.124328597,36277.542526232,34364.6224975676,38486.842132565,29215.662261957,25844.2215957506,32873.082473749,36104.4021682723,28666.44230652,29016.542144769,20689.381561288
C28:0,0.41346794263181275,9.086185445536577,3.884829621543762,0.048724205977097916,0.23205341263912818,423.4 -> 423.4,FFA,3938290.76470143,2767520.21289815,3252171.9200368,874694.141544407,2910493.33757724,2860311.28683477,2283981.4538769,2705658.61244533,1859909.84583236,920052.540740963,866714.910873862
Lyso_PC(11:0),-0.4132012512366106,2.4944973691850034,3.877021119031724,0.04895133802198198,0.23229953957384997,426.2542 -> 184.1,PCandSM,21480.30145264,27229.361846928,17305.48117065,22066.341629041,21572.661590567,24396.8417358485,29582.982131961,42023.042816145,27248.221847534,26409.522003177,6768.0603981011
PEo (20:0),0.41246164672121044,3.9665398234108706,3.8650274629940213,0.04930238689247984,0.23312985802015465,496.3763 -> 355.3763,PE,75388.285247802,92519.926818853,82610.825897232,81538.185760479,75391.784606933,65471.244384759,57630.444030766,75046.625396677,58256.723480217,59740.484085076,17128.1211700427
Lyso_PE(19:0),0.41066617464954647,2.9997802214801044,3.830620074465969,0.050324312073064065,0.23711526400262217,496.3325 -> 354.3325,PE,34560.762710559,63393.083984378,35969.582611071,41622.462982165,34275.362518307,34371.1423377983,34452.762512202,31950.262374884,30714.662261964,31078.0624236936,8237.760616303
TAG(54:4)_FA 16:1,0.4072578710758144,5.575472522527955,3.76910558572763,0.05220754257996504,0.245116263744233,900.8 -> 629.8,TAG1,275711.11767566,238568.31628401,253516.01867694,290819.61804208,205092.21569821,246104.99584965,184350.0528565,187065.95202635,153575.15014648,222169.45385745,40228.5031585691
TAG(58:3)_FA 18:2,-0.4053438700459507,5.264128619287479,3.733796000066717,0.05332208273592028,0.24946444361257405,958.9 -> 661.9,TAG2,150287.27001952,142773.21081542,156775.43078613,165278.43249512,143766.910644553,344020.98388665,161340.95043946,227824.3356934,174447.79174802,150369.22924803,38756.9227256645
C18:0,-0.40154601550865404,11.556263430074546,3.664759126957506,0.05557467582776608,0.2590875732252193,283.3 -> 283.3,FFA,8659496.40210012,9168194.62500021,10131898.1044927,11526115.2929683,8682345.26293965,10893002.5051267,10605758.2592773,14987062.0251466,15235105.6286623,13630034.378418,9905782.93481505
PI (36:5),-0.401047644144153,9.678489459699835,3.655686407641042,0.05587812584473234,0.2595882056786864,874.5176 -> 597.5176,PI,2697080.76697489,4922084.58020038,4360374.81664984,1151055.04540998,4566373.35351571,6492166.52935814,4976341.05444283,4694957.38696278,4374590.16906736,3517056.20776362,52321.743896471
PI (40:3),-0.40023786981674364,2.6894678538723595,3.6384397743540973,0.056459821012465786,0.2613734371346318,934.6115 -> 657.6115,PI,18326.8811302138,29038.48208619,25578.9019813658,11400.9407997164,30449.92230225,34098.282485957,35111.02249909,30881.182556151,26380.5218010004,28810.062126165,15085.3210372887
TAG(60:4)_FA 18:2,-0.39606738499365995,3.7052990519687166,3.5646548141790078,0.059022010802417806,0.2722827257923386,984.9 -> 687.9,TAG2,47176.603240943,51040.083740231,54998.083801254,57280.9039192273,49804.0235824517,104975.24749757,55265.464111316,76313.865783703,64325.425048839,57827.70391846,11973.7007904057
"PIo (34:1), PIp (34:0)",-0.39476915614735275,7.327278302616964,3.5424039917597874,0.05981870399053432,0.2749998752898175,840.5696 -> 563.5696,PI,366109.444701724,754837.20471188,696527.92102049,250998.203979484,1288995.95764221,1379507.3852533,894829.57897943,649923.85021878,742861.7664796,885561.38696286,87564.36602777
TAG(54:3)_FA 16:0,0.3942706792986459,5.582136550148682,3.533282483178482,0.06014859860494185,0.2755596697333668,902.8 -> 629.8,TAG1,281867.21887218,227818.59643548,258437.17858888,289619.10144047,208354.37768547,240531.97717279,187905.57373038,185589.87304677,157570.17126463,231149.03784179,39736.2026634168
1-O-eicosanoyl-Cer(d18:1/16:0),-0.39375366615154095,4.132315767275082,3.52349953310204,0.06050456742587123,0.2762346457650121,832.8 -> 264.3,CER,64790.8843765217,60682.1240234344,71885.5852088724,67996.6648635781,71287.4053878955,114812.168464632,98924.6271286087,79194.7854957329,82332.8651695035,83598.5657501271,24789.3419418376
PC (38:4),0.3907500622565378,12.974454254207208,3.4709414408881707,0.062455755263338346,0.2841629552187628,810.6 -> 184.1,PCandSM,50692141.1992188,45544556.2031249,45230836.2578125,39438914.6445313,46216139.4726563,39193351.862915,34320946.3789068,36641120.2343751,33104877.5000005,35168351.4882813,516601.87109372
O-arachidonoylcarnitine,-0.38825368697178314,8.018591895168752,3.4268102465830452,0.06414588185371915,0.2894240317294336,448.3 -> 85.1,AC,1054896.60302734,843018.143798801,832551.9934081,936255.66772457,1146319.88159186,1774677.51660218,1281946.13916051,1172116.51464849,1161074.53540049,1143609.0302733,483863.5363771
PE (38:7),0.38808056694385834,6.515259936618808,3.4236729938374992,0.06426787411514613,0.2894240317294336,762.507 -> 621.507,PE,588310.119964472,474901.845764042,445136.807861336,443910.335327274,479950.871337906,459081.357360693,393151.309661705,370984.02746574,350867.28784175,344510.544036938,73915.185974187
PE (40:3),0.3882385648772776,4.289164675420984,3.4258929319757954,0.06418152611555633,0.2894240317294336,798.6009 -> 657.6009,PE,110255.969085682,98687.286834733,92581.907165612,112071.187988319,96719.26788333,89054.10623175,86598.966827412,73338.40475466,78124.665435867,75352.446014412,19329.021392819
PI (20:5),0.38757787261483634,3.192719906341415,3.413031564178027,0.06468351361497976,0.29030837974994306,636.2879 -> 359.2879,PI,38096.762542731,42790.283111581,51087.40301514,16731.7814216531,36367.962371831,30184.381958009,27067.361907968,32614.761985771,27032.761993402,28244.682075499,34371.4824752779
PG (40:3),0.38671866508073977,3.92598983955112,3.3989684287342925,0.06523720536588079,0.2918042564338722,846.5954 -> 657.5954,PG,84650.345794711,64602.784881585,58772.504257174,78609.725891098,97691.126373266,61189.043884252,68543.105590825,57854.303817735,56713.284256015,57353.20446776,21409.581604008
CerP(d18:0/16:0),0.386067592982108,5.58571717406772,3.3882142027782716,0.06566403191948134,0.2927245059306171,620.5 -> 266.4,CER,322354.082809481,221509.995689397,240275.476959214,242059.237945398,224058.476928715,231732.898239209,200519.975257837,186601.992172293,185116.833023048,184179.853149432,49796.3833236765
TAG(52:2)_FA 20:0,-0.38367427951355143,4.264813440185459,3.346052065360709,0.06736640137168545,0.2993057564299045,876.8 -> 547.8,TAG2,75332.485324876,67810.364555351,82896.9852867139,95844.647556268,69300.9047508132,165981.631408674,77269.5247650275,102910.107177743,100886.308105482,89286.3866347913,13628.1208763117
PGp (38:6),0.3829742824756222,8.559187131241428,3.3345421334379353,0.06783928588652019,0.30039871074833685,796.5223 -> 607.5223,PG,2379205.64892523,1667608.38305777,1371072.5581055,1998637.3679193,3115265.60034273,2063345.79522599,1949688.39684974,1407092.25061147,1518923.65844692,1370147.11193891,84023.126892065
TAG(54:4)_FA 20:0,-0.38058109398875584,3.616378454289847,3.292083404267942,0.06961463766967263,0.30723260091548854,900.8 -> 571.8,TAG2,50715.543781282,46500.4629898023,54702.0037345742,51717.4233970475,46133.342987061,84982.805938717,44450.2830200138,74220.026214579,64772.744720447,69651.944610603,9246.1806907637
Lyso_PG(18:1),-0.3798525948232101,5.177593516424453,3.280221466209923,0.07011946647914252,0.3073893242099008,528.2958 -> 339.2958,PG,175361.273010277,149118.751037581,108710.268020613,158588.512420605,130804.569946282,135226.788604701,195528.533447134,300832.860626423,171522.191192531,159732.832641771,37613.462448121
PG (30:4),0.3796203443546555,3.1603042627102873,3.2749131358568775,0.07034665048006038,0.3073893242099008,704.4233 -> 515.4233,PG,55282.98413085,38164.842567448,37012.102355954,42982.102798451,32392.442321778,31969.302673337,35538.322402944,30760.282135,32848.90229796,31381.381973277,21440.201568604
TAG(52:4)_FA 16:1,0.37960294468983935,11.328844557132776,3.2762879569345387,0.07028773584725624,0.3073893242099008,872.8 -> 601.8,TAG1,16705314.0449214,13559187.4257817,13911461.1459956,13807454.3769531,14366558.2009267,15586901.8266601,11377256.3178716,11904189.1665034,9106247.21996976,9899555.12451122,124780.229213698
PG (36:0),0.37877659904920047,8.479598305722625,3.2620502434656373,0.07090042798437995,0.308790021879339,796.5798 -> 607.5798,PG,2227177.67724679,1612291.8403315,1277841.48876969,1838878.90881258,3002243.43188425,1943561.89959696,1905131.68859773,1339186.44726606,1413281.6563722,1273778.9066162,80406.226135188
PGo (34:0),0.3775164638462384,4.99454541180982,3.2400053174574737,0.07186040499619645,0.31194484004906264,754.5692 -> 565.5692,PG,156071.911254884,138654.529632658,118400.087768513,151766.312133749,157387.291015723,129698.809997586,116756.948669445,104473.187866203,106431.98724364,116035.948120209,82031.646820037
TAG(58:2)_FA 18:1,-0.37252378105226935,5.257122279639293,3.1552361290464424,0.07568374109587693,0.3274682131076505,960.9 -> 661.9,TAG2,150335.63012698,150452.2504883,160271.39111333,165378.43103028,141774.21032717,326887.60034198,163557.09155273,229091.09570317,179474.95214846,145589.27050785,36648.5024185119
PEo (36:0),0.3697193582169227,9.11841704418423,3.1083434801912517,0.0778921442381397,0.33483506159512,734.6059 -> 593.6059,PE,3795310.87036123,3040500.89099126,2901611.88500911,2638654.39526356,3223064.13940442,3047653.68914792,2632821.78332541,2466836.85937455,2201248.53454487,2115580.07995628,39805.842895507
TAG(50:2)_FA 16:0,-0.36996736325613727,9.659016260078758,3.1125090811838163,0.07769318805259713,0.33483506159512,850.8 -> 577.8,TAG1,3522427.0742188,3166857.7929713,2882254.8242187,3114653.906249,3584725.8652349,7896385.0332031,4178922.5449215,3933514.2304668,3636589.5937493,2453263.525391,812698.03676604
Lyso_PI(20:2),-0.36779794225352397,3.650365122826091,3.0751936248420844,0.07949512737028935,0.34061989850570584,642.3275 -> 365.3275,PI,39173.2425689618,66795.865142814,58376.84460448,19334.2815284779,58965.044158928,85734.406433087,61135.303939825,62189.24464419,53155.10346984,60753.063964819,19698.901519762
PEo (36:1),0.3668682292638101,12.886239626755337,3.060734705531178,0.080205396057048,0.34255465928881146,732.5903 -> 591.5903,PE,53086086.90625,41427073.7753901,38634867.8242183,34972226.111327,45158349.3886714,41370736.4569707,35773803.984375,35097583.1689453,30555391.1562499,27759556.0957037,178560.83056644
TAG(58:2)_FA 18:2,-0.36619490943749106,6.604048946998134,3.049421227471612,0.0807659203617732,0.3438394808970666,960.9 -> 663.9,TAG2,519135.84008797,390360.42675766,382291.90087885,450090.87365735,309961.845520015,862381.59960897,321193.22412105,710520.82617256,481475.3505862,401854.02734352,38653.643054964
Lyso_PE(15:0),0.3652878215210687,3.0793621648381793,3.0329804420374558,0.08158801938072491,0.3462256495780924,440.2699 -> 298.2699,PE,34099.582305898,58418.624053888,37738.482818573,42195.603271482,37799.082824691,36001.582427971,35227.122360209,32315.042053228,32096.722290026,32563.342498771,12599.7809600813
PG (30:1),-0.364911460197444,4.719603693759095,3.0277902869619875,0.08184941715856715,0.3462256495780924,710.4702 -> 521.4702,PG,119028.128204355,101768.947875997,79297.105712894,112277.168212976,113426.489135792,180873.212433005,163884.771362283,125646.347717408,114899.129119875,116739.388732908,29642.101760865
PE (36:3),0.3634168622778543,14.724989985971384,3.003568697444522,0.08308132699486868,0.34966613906183247,742.5383 -> 601.5383,PE,190932356.0625,140185835.75,139204565.710938,140321291.445312,149340230.140625,153310591.551636,131337252.800781,97210001.7265625,114868852.332031,113286390.460938,832881.8798828
PE (36:7),0.3623556450916814,9.18068439692199,2.9860797582005034,0.08398325696500206,0.34966613906183247,734.4757 -> 593.4757,PE,3947927.8320307,3128548.7594002,2950384.43811086,2823304.27063002,3410324.83386175,3156700.91900647,2733263.41699219,2570273.2443847,2381086.16772515,2207837.92407193,36320.74256897
PE (38:9),0.36287722877449047,11.17231961777148,2.9946743390173656,0.08353870725181058,0.34966613906183247,758.4757 -> 617.4757,PE,16744226.2163085,12714552.2084966,11288083.9746104,10264246.3715825,13965447.9711925,12905902.2326055,10879834.6755378,11185720.699706,9031862.62573153,8117860.46533153,69339.944763175
PEo (38:2),0.36247274340434243,11.097533928539493,2.9880191429983824,0.08388272056407764,0.34966613906183247,758.6059 -> 617.6059,PE,15834691.435547,12018507.3671876,10760509.0151365,9841811.22558519,13220636.0512697,12381480.0509338,10349851.1613765,10452441.964356,8522848.81103608,7807852.56982416,64640.504791248
TAG(60:1)_FA 18:0,-0.3632106110654333,5.097068796849058,2.999794517775115,0.08327507782598237,0.34966613906183247,990.9 -> 689.9,TAG1,132170.090332046,133597.18957522,115917.088256872,121535.98803707,146416.970703151,259089.21874992,168905.972167977,191711.572876028,131333.848449699,121627.108276367,59031.6444854704
TAG(54:6)_FA 18:0,0.3620456745500711,7.776787699246655,2.98095421925791,0.08424958881261975,0.34967540936648445,896.8 -> 595.8,TAG1,1289610.21221987,1110146.41687002,1307347.75305111,1348568.40844731,990444.7880855,1152499.71325691,1016880.6334227,857335.12133796,952067.95849617,899326.08215322,38006.9627761636
PE (36:8),0.36026114625433914,12.97713530572002,2.9517656540580965,0.085783788113773,0.3549304233207358,732.46 -> 591.46,PE,55815368.2705077,43919762.9218744,41901373.6445317,37346983.3730464,47649472.757812,43655212.3182983,38573257.2949229,37811327.6230469,32738502.2802734,29280425.1025392,182100.91430665
PI (38:1),-0.3571085413514203,4.683458778456884,2.9000209479363566,0.08857840145538808,0.36535141285649164,910.6115 -> 633.6115,PI,76208.3456230039,134916.370635908,132105.547668553,48946.083587658,145358.3302306,192263.55432131,147671.412414582,119971.528320281,122831.848114042,127722.628417845,16886.761062624
PC (40:5),0.3532472479005126,7.401468320488425,2.838169517824099,0.09204902008931677,0.3784872751498615,836.6 -> 184.1,PCandSM,854525.652007818,1074016.79058848,822996.186096432,971570.437255884,925295.631897016,789200.7845917,711289.669708225,887833.901641872,575201.132141146,801826.263793448,37814.183105474
TAG(54:6)_FA 20:4,-0.35280479372984463,7.000991233500218,2.8310570523608476,0.09245748555938507,0.37898981696788187,896.8 -> 575.8,TAG2,583259.8820152,457419.772659652,551917.743674807,551684.619846374,468380.896514826,1190430.49853535,467574.89400869,724109.68945307,671939.00976586,455188.796642378,111554.627319323
C18:2,-0.3520738806785023,10.745656352506835,2.819449305563467,0.09312834980015569,0.3793945755133124,279.3 -> 279.3,FFA,6342168.26477046,7904090.26123013,7318190.70141601,6757117.37884476,8600035.96328728,9034371.49017194,7961757.53411877,11081728.2231449,10695741.8699945,9491994.78521725,446813.713134713
PI (44:3),-0.35210498646710414,2.3190674689149717,2.8174199996414018,0.09324617504039355,0.3793945755133124,990.6741 -> 713.6741,PI,16005.2412223804,21365.1416931128,23399.1417884858,8313.8406181362,22290.6216506866,27362.962097158,24691.642002103,22205.7814559913,21299.4014625605,24187.5218048077,11073.100803378
TAG(50:4)_FA 16:1,-0.35176467002715417,9.424347976223208,2.8145019785733894,0.09341588490735639,0.3793945755133124,846.8 -> 575.8,TAG1,3262860.39013587,2685698.7128907,2486835.66064442,2764226.02343756,3505139.74365227,7161575.29296825,4001989.29345763,3619106.29247949,3141713.58984312,1800789.49169959,237597.778053299
PC (40:6),0.34997979638097526,7.352247735688741,2.786033487649547,0.09508933209007688,0.3845947474949423,834.6 -> 184.1,PCandSM,796623.591064943,1037576.80194097,770977.9193116,1039355.15435784,880052.708190929,757878.635947597,699898.627381,923322.098938069,530670.743835024,769954.72564745,15958.441146847
PI (44:12),-0.34990487654553143,1.8817666742262298,2.7812890752796875,0.0953713782222201,0.3845947474949423,972.5332 -> 695.5332,PI,10358.8007812502,16368.0812835731,13506.1010971028,7010.6404609646,15921.3009834238,20197.0414123577,16349.8611030612,15359.9409332285,15420.7610702436,15391.8811569282,10801.0206756603
TAG(52:6)_FA 16:0,0.3494705602434075,9.023959286698709,2.7779952056953334,0.09556772804066166,0.3845947474949423,868.7 -> 595.7,TAG1,3064243.32189949,2558514.84692439,3128786.97741637,3388807.22924855,2224698.55163601,2781738.31396477,2522660.48681688,2469305.17871181,2127121.59167427,1832761.89624083,48965.4634513685
TAG(58:3)_FA 18:1,-0.34875604417986344,4.10534116231334,2.7660427981686553,0.09628392495145709,0.38630277768402776,958.9 -> 659.896,TAG2,68932.104248057,65493.964477523,71044.565002438,76033.82531739,64477.3446197322,141420.469665544,71358.94506838,94438.2475586,81426.72595217,73401.406066884,18238.7611122107
TAG(54:4)_FA 18:1,0.3479327902516726,10.830081282514968,2.7536740635696333,0.09703122972530279,0.38812491890121115,900.8 -> 601.8,TAG1,11945381.9580079,9299034.8906255,9774634.94140664,9302264.8671875,9948061.42871149,11336952.8564454,7880951.90136669,8193971.4326176,6346382.05273429,7367169.6318349,306730.021858147
PGo (36:4),0.34713805285562077,4.968523766032726,2.7407972594373855,0.09781595410986191,0.38995225680051443,774.5379 -> 585.5379,PG,187382.932556144,135672.009185851,136035.92813119,165710.571716202,198571.335205186,146177.049499453,153503.011627208,121683.50720225,130302.22958378,113833.687988214,24695.20181274
TAG(52:4)_FA 20:0,-0.3469242332338226,3.134952248268482,2.7365367348925247,0.09807711594756141,0.38995225680051443,872.8 -> 543.8,TAG2,34064.342620858,34202.1426200829,39541.0427627639,41315.2826843497,31317.0822105512,59263.523712175,31530.9823036227,61831.724151609,45541.503204345,41153.4627685707,6863.2404022191
TAG(60:2)_FA 18:0,-0.34583032212907544,3.9421756465703996,2.719803325630039,0.0991102267271,0.39288006043916285,988.9 -> 687.9,TAG1,60853.044555646,58473.124633764,52208.923767089,59923.00457763,55256.523986799,100478.907287621,67525.76492307,76080.444763184,60874.084594717,74411.164978022,30229.8419532881
TAG(52:3)_FA 16:0,0.3442934910318736,11.344043908157616,2.6965066894154,0.10056838078067314,0.3974702571749589,874.8 -> 601.8,TAG1,17077346.8435054,13297938.6328115,14018647.0195312,13808768.0878912,14133284.7724614,16110329.5439453,11438801.5576171,12361449.6865234,8951813.98535045,10495382.4428721,123612.967987039
PE (38:5),0.3422404255380794,5.018362079176844,2.6641962354696034,0.10262965868169534,0.40440972647191853,766.5383 -> 625.5383,PE,177663.973693855,166702.429687546,154191.891418452,176074.073852451,174948.990814204,153504.071197472,142629.950805727,148853.64996335,125688.96899418,121615.029449441,25374.6018142739
TAG(54:3)_FA 18:0,0.3418324501444113,10.780627497684138,2.65818225971816,0.10301840323001775,0.4047369907315831,902.8 -> 601.8,TAG1,11399751.7958989,8911923.6982427,9321972.27490235,8840327.32128915,10115632.9355464,11139526.0937499,7428009.13085984,8032389.00683594,6300251.01953115,7008154.17675636,260160.91840743
TAG(54:7)_FA 20:4,-0.34093001157956804,5.404244366986117,2.6439618954798334,0.10394403665078658,0.4071653980048563,894.8 -> 573.8,TAG2,198398.295158366,152841.609989195,194193.636009197,191230.835125039,157443.130680183,371220.28381356,158117.331199717,262380.917053264,226202.79528805,170147.451370252,20865.0013504029
PGo (38:6),0.3398005572055852,4.817454697313593,2.626373092656195,0.10510154984313866,0.4080775718249724,798.5379 -> 609.5379,PG,171735.1514892,122332.468505873,103799.827980027,135961.890045206,186052.7339478,129332.528900152,131043.188690273,105360.247161923,110040.307830841,107927.847442628,32510.862213134
"PIo (40:4), PIp (40:3)",-0.34031802108985537,3.145852141776063,2.6334904751514614,0.10463146505048122,0.4080775718249724,918.6166 -> 641.6166,PI,24005.5014534082,41883.7826995811,45982.802780163,15656.9411315867,46059.362823503,53745.684097292,46972.583236692,41187.962852468,41297.063079822,42723.022605912,13226.1609039352
TAG(50:2)_FA 18:2,-0.3400468131598843,5.886670745258354,2.630376593966389,0.10483684480724217,0.4080775718249724,850.8 -> 553.8,TAG2,242485.695854288,260035.358577949,238256.276935434,250726.678421022,229620.936019873,488607.69555678,234439.776752625,313588.84228519,290162.70019522,289328.83837883,47583.7829627817
Lyso_PI(20:5),0.3386467195702861,3.203002037960797,2.6074799395572086,0.10636066058603248,0.41175881466639475,636.2805 -> 359.2805,PI,40090.883010856,42382.263595565,48492.602462799,16304.9215545686,32936.442352293,31028.822288517,27705.901962296,33222.3223266592,25458.242034907,28969.162033078,36258.342521707
TAG(54:7)_FA 18:1,0.3381238591104568,7.837497779248755,2.600910225983171,0.10680235956835853,0.4122633354766959,894.8 -> 595.8,TAG1,1310216.48883037,1157939.57519593,1364238.26904179,1399788.19665581,1025834.65234393,1192417.46276852,1079676.84106439,941861.68920913,1020344.78430191,896966.48339862,40071.1827087271
Cer(d18:0/18:0(2OH)),0.3352870053972094,4.947302742491635,2.55724420853744,0.1097898132510683,0.42256311844306527,584.6 -> 266.4,CER,189722.373291035,137373.050285336,147896.229919445,152105.949005132,139695.170745849,144229.150688191,134339.908462517,116730.068473834,113031.50740048,119628.269058217,43107.943054197
PE (36:5),0.3317478411934925,11.936360659891136,2.503996443173653,0.11355780295829765,0.43204175608271866,738.507 -> 597.507,PE,28066397.8623037,19527991.4111328,20160336.5097661,18911342.1533207,22387857.1621094,22629818.9486694,20357869.0332036,13522801.390625,16074820.6528315,16847733.5371088,119715.82836914
PE (38:4),0.3318394197391174,5.170354542470403,2.505108551633384,0.11347766551387466,0.43204175608271866,768.5539 -> 627.5539,PE,219304.055068939,180030.272796676,191186.73118592,185494.834106499,186343.052001954,176730.012954754,171330.610595866,142786.949798617,146337.290466262,151601.032501185,18286.0414886428
PG (40:7),0.332413198671526,4.3560826110317565,2.5135141279595246,0.11287397968688812,0.43204175608271866,838.5328 -> 649.5328,PG,93397.747528104,121137.868591281,67862.824859618,122633.948547292,97538.466979964,88784.746765059,86155.585754426,100775.967040986,59494.784088141,78749.625671485,31138.742202761
PI (42:0),-0.3321745213096121,3.296425828869844,2.509364758448328,0.11317154263511499,0.43204175608271866,968.6897 -> 691.6897,PI,29104.7019195524,47597.203063981,47101.4033164872,15618.0611381534,55205.6637611362,62243.944122313,48474.423828133,49438.483688344,38549.562606814,53567.923751844,14201.2209548999
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",-0.32967798126015174,8.218696854255821,2.4728792697396784,0.11582557509443164,0.43815160407150716,444.4 -> 85.1,AC,1166682.80566416,954639.74365249,975641.21093774,1040489.27246095,1222579.94287124,1845137.78369166,1389471.74536136,1266283.38427735,1256217.50122064,1225787.17529288,728697.29003915
