lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,42E1,42E2,42E3,42E4,42E5,7E1,7E2,7E3,7E4,7E5,SolventBlank1
Lyso_Sphingosine-1-phosphocholine,-0.4150369581858343,5.228903566702815,2.2246672904948364,0.13582191285621667,0.5065583454130447,465.3379 -> 184.1,PCandSM,132395.390075717,134611.549926716,141165.870971702,148829.131774889,175188.312225522,247558.201141286,195563.132751436,197656.01568619,276748.998351922,81659.726074219,12690.1008834835
TAG(50:4)_FA 16:0,-0.4152973692637034,7.899156307907868,2.2275676824428956,0.13556711396069904,0.5065583454130447,846.8 -> 573.8,TAG1,94730.1254577749,1228507.86145024,1389774.52380363,1161541.70104988,1070852.08032232,1321777.61962876,1586014.13256896,1109066.04479965,1247930.53222658,1118791.92810057,49556.2432174833
PI (32:4),-0.41405201139373415,3.9205417065455186,2.2139279494761017,0.13677004065493786,0.507737999114782,820.4706 -> 543.4706,PI,48903.203552249,63128.904617264,50382.683380129,59163.623596177,55203.763778679,73631.405090339,82455.125900271,102104.226272647,67333.8043593893,46086.8631897261,16256.8811035198
TAG(58:7)_FA 16:1,-0.41390785634670607,4.116929239368323,2.2124039687865893,0.1369051855619163,0.507737999114782,950.8 -> 679.8,TAG1,33608.7824516435,68699.80493163,63112.584167459,63759.304504365,58978.82458497,69113.585082988,71186.06457521,87154.76611325,89136.90576171,63032.144653335,37150.7625541762
PCo(42:2),0.4131992348283167,6.382124272540047,2.2051495880778016,0.13755055041857991,0.5087065048999995,856.7 -> 184.1,PCandSM,338005.564392027,417197.886322484,486527.308349712,414624.908569835,446052.079223764,476116.482360946,323425.223938387,289925.204711915,257716.576782758,240803.13507064,63650.12480157
PI (36:1),0.41188341462021083,8.598359291681223,2.191225271890289,0.13879886334153888,0.51164212321659,882.5802 -> 605.5802,PI,1535171.58227592,3059160.38964927,2321291.43335011,1735309.68457018,1783771.65087809,1319298.11376967,1589595.02355976,1203669.24560542,1585773.39526355,2014445.26098693,72293.60565185
TAG(58:6)_FA 16:0,-0.41158252037162385,4.102023036652242,2.187696920760118,0.13911719362384622,0.51164212321659,952.8 -> 679.8,TAG1,37091.2426376269,68232.265136697,62791.544677728,59483.524047845,59036.784728998,70048.004943849,73565.025390625,83545.16577146,88607.24700928,62615.104156485,35730.3422889583
TAG(60:5)_FA 16:1,-0.4107666848749903,3.0743217340640125,2.1786972936874065,0.13993286234794938,0.5132163704949723,982.9 -> 711.9,TAG1,14495.22097397,32688.822479262,32754.962280258,33095.202270514,27627.441955565,38756.962554919,31836.922210694,44470.443450906,44328.042755129,25314.281707767,17949.8413391122
Lyso_PC(14:1),-0.409732017946865,5.265570644639868,2.16835194884834,0.14087713870903285,0.5152522973777887,466.2855 -> 184.1,PCandSM,138906.729553231,133261.667419436,146802.411834699,153059.948822022,180793.494293173,248101.41522205,188828.595245304,211929.072204671,287393.402160619,87031.926757759,12365.740852358
PCo(42:4),0.4086839844981508,6.435250327945881,2.1573804533338468,0.14188639633105457,0.5174226790515147,852.7 -> 184.1,PCandSM,359124.783508326,415110.245239288,493841.278991733,452597.59103449,451084.19079642,521902.615783669,324401.739929083,310252.722900525,258592.99621573,234398.697753978,66846.906387378
TAG(54:2)_FA 16:1,-0.40830928487636775,6.1760975679085055,2.1534259653881236,0.1422521564763983,0.5174226790515147,904.8 -> 633.8,TAG1,86128.2658233418,350786.36132833,377706.4472659,269175.67663594,269491.25854489,358694.60437011,464658.99731451,326331.48242196,362017.98583979,248639.83569341,87236.2465286336
PE (36:3),0.40785397270069174,14.880043498588888,2.148715254248458,0.14268924602044197,0.51759058008511,742.5383 -> 601.5383,PE,157468296.070313,194495817.664063,171263898.09375,143814821.039062,142290608.781251,97858566.929687,121821781.78125,96877463.7734375,98891566.65625,189740304,832881.8798828
PE (34:1),-0.4071686059754133,13.357245441172374,2.1415231981964693,0.14335948748936442,0.518600987529832,718.5383 -> 577.5383,PE,39169008.6835938,48852835.1679688,47070996.0957027,38560146.0195322,39241144.625,50777012.9453124,63568117.4609375,48841968.5820307,48586980.1757817,70069303.935547,204218.67285154
Lyso_PC(15:1),-0.4054917131635466,5.278108496195381,2.123851227209798,0.14502147592936265,0.5189417138661517,480.3012 -> 184.1,PCandSM,140821.59020992,137183.20993043,145048.731323301,159515.452209432,180335.831237806,260546.256042492,187713.193847651,207738.937011696,294060.87847901,84834.666503955,11175.7008514399
PE (30:1),0.40643619952779164,10.63338174976312,2.133848603854858,0.14407860794691163,0.5189417138661517,662.4757 -> 521.4757,PE,7774878.4362798,9690978.0231934,9084074.76757795,8150539.32910096,7966436.07104487,6551080.88134713,6976046.35205016,5624899.45605468,7030165.02392584,6203931.40429643,44646.983459481
PGo (40:1),0.4057357915828158,4.376237811923739,2.126261395926889,0.14479353503752979,0.5189417138661517,836.6475 -> 647.6475,PG,87898.606872525,99904.926605188,115225.708862388,88734.98623659,97207.226837179,53101.104156466,78697.52636718,81938.745513875,61759.623962399,91582.867462175,28976.661941525
TAG(56:6)_FA 16:1,-0.4059581021025835,3.8832869667030865,2.128430085042624,0.14458877692200126,0.5189417138661517,924.8 -> 653.8,TAG1,28855.3021316589,58472.363952649,47211.763183598,54874.303894024,44380.223205555,69866.58483884,52418.46350096,70870.20495605,63543.44482421,49843.563659663,37882.7828331022
Lyso_PE(20:4),-0.40412056989014256,4.4106705808523925,2.109394039831386,0.14639727770292643,0.5224528185409019,502.2855 -> 360.2855,PE,83459.964904808,66175.264373746,50947.744598443,53945.384140059,71406.485015816,52887.243927011,265261.819641154,48454.383239744,60285.404510477,32675.982330317,54428.204605132
TAG(54:5)_FA 20:0,0.4011882243212242,3.5945581876995516,2.0788589411877183,0.14935178645187053,0.5315638851136467,898.8 -> 569.8,TAG2,22739.6015815657,57426.044097884,59814.343963628,96492.226806619,68356.544921845,61446.22442624,43265.742950425,64987.064117426,22450.8415374718,34749.562316901,10298.4406127925
PG (40:2),0.4006757132363506,4.411655219331901,2.0737427354238216,0.14985337804076232,0.5317055890104792,848.6111 -> 659.6111,PG,98494.567565912,147784.090667716,95406.006515493,79618.165985105,104025.688079791,62323.565353375,65478.345275875,83059.366058355,69987.144989004,111790.268173219,19912.101501459
PIo (36:0),-0.40031625515406594,9.672833897081562,2.07027150408976,0.1501947811857396,0.5317055890104792,870.6166 -> 593.6166,PI,2596189.6035157,3760487.0683596,3226909.4882817,2388410.941406,4463514.3994141,2697885.9687504,3064663.0332033,4118977.4609366,6595616.6621083,5058413.648437,145400.89062492
Lyso_PI(22:0),0.4003854522811663,1.856649008572348,2.063643657541883,0.15084909053127926,0.53259785563577,674.3901 -> 397.3901,PI,3587.9002113341,3187.5002326959,2760.2601928707,2923.2402496337,4544.5603446939,2688.220191956,2586.4401969908,2146.3401565551,2267.4401702884,3331.8802261352,33207.222427364
"PIo (38:3), PIp (38:2)",0.3990907757876388,4.4820278567744385,2.0574375521575803,0.1514646902071388,0.5333490687081164,892.6009 -> 615.6009,PI,91238.446167023,151259.629882784,118351.128051688,102703.168579113,97091.828125104,83393.105773933,86399.40600583,79893.165374735,90177.886260976,83310.865966804,18404.541252134
TAG(58:4)_FA 18:2,-0.39867928382401285,4.04133948077935,2.053120668098927,0.15189457005304272,0.5334440603454338,956.9 -> 659.9,TAG2,42535.5629997302,56813.664245596,61823.26446532,75811.065185545,65242.1446456726,109182.467834482,96660.186096197,103523.028076201,35919.9623718371,53959.203613284,18775.8612403846
TAG(52:3)_FA 18:0,-0.39817267828875846,7.392295231049407,2.04820730076608,0.15238553028465146,0.5337524923197845,874.8 -> 573.8,TAG1,89308.0665893914,868569.48156737,938087.36083965,833816.37792953,736035.33984378,880401.22216825,958156.04394528,758451.45349147,836645.29382319,966344.89086885,51067.0636825626
PC (42:9),0.39765852466252893,6.423978843259849,2.042907760936714,0.15291709426583408,0.5342011419735206,856.6 -> 184.1,PCandSM,343820.060241608,430176.455077977,500969.552551189,435697.454772881,443202.694518957,497922.4685669,324191.160644086,312349.260620071,258560.133666922,249236.134399423,66042.60477443
Lyso_PC(19:0),0.396790445584762,7.724051726391976,2.034061628539348,0.153809083069437,0.5348456408568102,538.3794 -> 184.1,PCandSM,1015794.23437497,998795.92236265,1269198.57885724,1199624.38769519,1106052.37329105,1240669.25512701,949397.8928223,797358.43603561,1140940.32800288,233506.01818838,27197.76168824
TAG(60:10)_FA 16:0,-0.39675557847738885,3.1243852760595066,2.033069322691091,0.1539095084338706,0.5348456408568102,972.9 -> 699.9,TAG1,17409.3412017775,33089.302307104,29661.882171632,34610.082611068,28412.801818865,35967.622405997,35564.942596467,44273.743041993,40972.543029778,30149.202468862,19861.1214828429
PI (36:2),0.3948435685749133,10.578734865696171,2.014230389497243,0.15583026829834848,0.5401028147304016,880.5645 -> 603.5645,PI,6249714.33398375,11069647.7905277,8945558.8320315,7363112.20556628,7583599.53906276,5550199.0795897,6462169.00927729,4789667.40234427,6205510.61865313,7958249.25170894,118168.82824703
PIo (42:2),-0.3944977909551445,3.1255310715920306,2.010117938700944,0.1562531706865005,0.5401545639397562,950.6792 -> 673.6792,PI,30021.362014786,35274.722496023,30920.902221696,30306.522018445,28136.481918348,30665.361770633,38710.542465193,50194.48371888,49909.483749369,34998.642410245,12509.760826111
22:5 Cholesteryl ester,-0.39258066021221166,4.388428751856791,1.991019058527172,0.15823436860843576,0.5455789167645024,716.6002 -> 369.1,CE,67788.4849548316,70778.105079662,64605.064575212,73999.5450515623,70973.764923111,137069.928787243,73161.545509339,74992.425262463,96748.527282707,81132.645599372,42027.22299194
Cer(d14:1(4E)/22:0(2OH)),0.3918316892195942,7.225521135336079,1.9836824037447514,0.1590030101212604,0.5463737485781575,582.5 -> 208.3,CER,730245.675796557,856011.402221577,810857.875289865,673489.045959568,633264.110961994,559675.478088096,647579.909561077,366249.266067508,663547.586021381,613069.060149964,124610.608993531
PI (38:7),-0.3915614888161839,6.970801094925436,1.9809512366409763,0.15929023183623017,0.5463737485781575,898.5176 -> 621.5176,PI,393985.98779299,558067.35937502,490530.29516607,369948.94726566,675760.4902344,411295.74963368,449150.135376,589121.42651371,1069540.69433603,730222.65356441,46652.42333983
PC (44:7),0.3890650391421073,4.22931057745149,1.9556438345061906,0.1619799697422602,0.5501926332454581,888.6 -> 184.1,PCandSM,59228.724319462,162115.23178109,101644.646881158,76242.223808349,100230.007247861,79129.425354055,59099.324386616,72583.085342359,79883.385673482,81390.3649597101,5992.3003921505
PG (20:0),-0.3898672880659673,1.4785878957426901,1.9548441174972595,0.16206580586535396,0.5501926332454581,572.3294 -> 383.3294,PG,2294.4201812748,1712.8201103206,2028.8801498418,1763.1601142881,2095.0201454155,3286.8201866142,2023.4201469426,2322.7001686101,2934.5402030944,2633.3801727293,25583.5016174507
PI (36:7),-0.39000854994262696,9.656904171503337,1.9653478956315666,0.16094252362633488,0.5501926332454581,870.4863 -> 593.4863,PI,2611594.8046878,3709194.4999998,3268063.0703131,2371514.2812499,4342370.4912107,2716568.6523435,2956654.904297,4009194.03222702,6510002.3808583,5020043.8486317,151011.40991214
TAG(52:0)_FA 18:0,-0.38902214578967126,8.84781001339624,1.9554432933227872,0.1620014895805075,0.5501926332454581,880.8 -> 579.8,TAG1,771208.447814942,2061459.1015624,1957430.7851563,1786644.4785154,1583973.6093749,2092218.1386721,2179345.6816405,2020088.1464843,2297292.6250001,1912367.9052733,788117.77619529
PGo (34:1),0.38842690495773535,5.055866363626309,1.9493419434070347,0.16265778023982372,0.5507900282289683,752.5536 -> 563.5536,PG,162540.611328143,202863.414672726,148848.20996088,118900.428131092,151739.931610032,88470.165710397,113264.18740848,123397.788848844,116763.167938258,155933.771423355,42944.223022459
TAG(52:0)_FA 18:1,-0.38758002627805715,5.916122297136994,1.9409428800145179,0.16356619423346347,0.5516046375885066,880.8 -> 581.8,TAG1,96247.1265029973,266736.5791016,255990.5808105,237335.53906247,223951.13525401,265550.05834961,274147.3986816,306725.70459004,306148.98217797,234254.05517585,98146.4071083147
TAG(54:0)_FA 16:0,-0.3874309024655446,5.416856469314441,1.9394194051851632,0.16373158804553103,0.5516046375885066,908.9 -> 635.9,TAG1,69508.9447822536,185453.51391605,184432.23291013,162988.31152343,161176.47143556,182588.43383789,196349.23376463,192090.15270997,238455.53625495,172587.01171874,69656.6249694721
PI (42:3),0.38680394907438664,4.63553920571987,1.9330839089147673,0.1644214443117783,0.5525228230172449,962.6428 -> 685.6428,PI,145086.229843176,138522.669036869,73966.545257545,139403.330398523,83209.305969211,93274.4675331827,78548.364837625,137257.79180906,63583.3045349145,77846.105117787,30608.7423400943
SM (d18:1/26:1)17Z)),0.38613008412497934,7.25175619282332,1.9265442900032212,0.1651370133022355,0.5535225458535692,841.7 -> 184.1,PCandSM,657331.302612694,798475.490844495,951193.679687507,741027.319152817,756380.555725166,961031.554992661,610828.69897463,500459.43316694,525847.020690995,416101.467834387,77338.844467187
PC (38:2),0.38450913004087095,8.649808126615097,1.9104693699191557,0.16691112961462945,0.5580564030549732,814.6 -> 184.1,PCandSM,1865222.05969282,2318915.81616143,2413008.42602579,2067228.20434586,2024875.32275405,3368809.59497029,1427241.41967798,1160394.28735357,1269396.23645022,1058808.17700152,30069.622329711
TAG(58:0)_FA 18:0,-0.3810064896666988,7.536570653614845,1.8759089424856938,0.17079985253310462,0.569619659329548,964.9 -> 663.9,TAG1,100934.568107609,881683.60742167,1004404.11486791,1134081.43115203,684646.40454056,966283.13745114,1131189.42016574,825439.15502884,745083.17602542,1116026.22290054,76068.1050109935
Cer(d14:1(4E)/20:0(2OH)),0.3786423854284113,7.285146000068936,1.8527633462192628,0.17346234259144055,0.5699534457225698,554.5 -> 208.3,CER,773752.047317425,964289.096984804,869409.719665652,755911.855865384,726091.517456004,652859.109161398,656247.947814912,468912.332740642,763003.773849652,628702.508575689,30625.5620040903
PC (44:2),0.37933621129833417,3.871438993864882,1.8592725707708269,0.1727087795002913,0.5699534457225698,898.7 -> 184.1,PCandSM,49993.0436706539,110843.847145083,83166.325607287,62697.7039794815,77635.2855147816,65109.704528804,51438.46369935,57573.9839286749,58052.083602913,58359.9640044956,5572.0804138168
PCp(42:4),0.3786268611271862,6.431583238264252,1.8525870160319755,0.17348280863005713,0.5699534457225698,850.7 -> 184.1,PCandSM,362330.144775863,413980.328674267,475856.644073596,430201.710754356,453688.968749921,549407.523620819,307511.119140605,307105.183166296,261409.875793453,232489.838134801,70376.584625263
PI (34:0),-0.3789236769577833,7.844182596904211,1.8555157800656161,0.17314323689590572,0.5699534457225698,856.5645 -> 579.5645,PI,818879.54540976,1093948.63720652,748936.7919923,694113.93505842,778011.57641595,880259.27563497,1190630.88891651,840968.58276415,1292310.49780271,1202888.53027305,313518.83911139
TAG(52:1)_FA 18:1,-0.3799688605107178,9.365850425035577,1.8657500132003402,0.17196263053716196,0.5699534457225698,878.8 -> 579.8,TAG1,1129409.53949317,2966731.1679688,2836273.1855465,2431651.2949218,2225291.142578,3040213.0468755,3129758.2656274,2816010.5195327,3167720.6210922,2671169.0058589,1202944.22160313
TAG(60:4)_FA 16:0,-0.3792522269082031,3.1686513672005234,1.858176984300826,0.17283534992599697,0.5699534457225698,984.9 -> 711.9,TAG1,18568.3813247671,31442.401947028,35232.862854011,36417.582519559,29990.901977539,37763.64273071,34537.062744143,42992.482971186,54775.864196754,26613.081909179,18820.5613327002
TAG(58:9)_FA 18:0,-0.37777783511576474,5.198184519105291,1.844224557003301,0.17445660943419786,0.5717340368586088,946.8 -> 645.8,TAG1,76504.1856003082,138387.67041018,138072.74938967,139445.85095216,126147.8691406,168219.97265622,179042.5720215,154419.13037108,166168.4921875,132309.7298584,77640.3454704249
PCo(42:3),0.37641310468909756,6.437052041341228,1.8310481420081715,0.17600379433657343,0.5739863445096958,854.7 -> 184.1,PCandSM,354861.26501419,408698.467651379,507813.479736428,430518.369659464,448312.612793011,517839.265625003,327330.919006332,309371.203186069,270611.155548111,243485.119415277,68937.743660001
PE (42:2),0.3764135847560772,5.276410657053822,1.8309877804645112,0.17601091833152305,0.5739863445096958,828.6478 -> 687.6478,PE,165751.332214291,201255.11431887,190815.592346212,190474.994461119,202191.414504931,141393.029190039,145857.769424354,191773.213851862,129373.188186663,124882.908630392,34613.602386471
22:6 Cholesteryl ester,-0.37543436357025106,4.389088912005946,1.8213723758685774,0.17715000590934268,0.5761927459649488,714.5845 -> 369.1,CE,68734.325271601,68755.6050720164,63383.64456176,74621.985214235,70613.464767457,134292.269729606,70508.045242309,70463.9649353,96257.546752939,83813.345947253,44244.4034881439
PC (44:6),0.374324367328292,4.226814031935226,1.8106667532858864,0.17842826725500682,0.5761927459649488,890.7 -> 184.1,PCandSM,60521.864555371,156045.68919377,96673.567520172,77214.205871531,103666.76593015,82213.64675904,59763.244293212,70803.824188276,77674.12467959,82338.985977171,6433.9404563905
PE (46:1),-0.3746731230717221,3.84573748434199,1.813947224529329,0.17803544769689023,0.5761927459649488,886.7261 -> 745.7261,PE,55363.7439193736,66399.484710688,45939.303817746,48725.6234054567,56091.82385254,81300.4268112132,61015.9836120391,116223.770217846,46846.703170758,49131.503547662,11717.600807196
TAG(52:4)_FA 20:4,-0.37446385714034514,7.979094818706325,1.8122190565845813,0.1782422622950512,0.5761927459649488,872.8 -> 551.8,TAG2,551130.459358427,953547.783126731,1007206.0693777,1275080.8095699,1038073.2265622,1815334.05711337,1483633.24508313,1528272.51031484,478137.6748047,915199.318206802,224817.216804479
"ecdysone palmitate, 22:3 Cholesteryl ester, 20:2 Stigmasteryl ester, 20:3 Sitosteryl ester",-0.36806202126144694,3.8216910051360258,1.7506302981582849,0.18579751472983874,0.5798352659630309,720.5435 -> 369.1,CE,50730.303848279,49078.6635131893,42080.222877497,52246.4635314956,46607.6030807497,89990.4858856005,51545.9438514819,45621.5633811873,62219.5444641026,65895.8047561443,25973.5417365995
PC (40:1),0.3687965768643892,6.572495599504483,1.7579003236205608,0.18488662620170346,0.5798352659630309,844.7 -> 184.1,PCandSM,400140.50848438,455843.614044899,568191.309081445,477824.949767879,462872.209472679,599596.963714728,367239.13073734,329138.725769066,299530.238311365,253325.398010302,71849.1660689718
PC (42:11),0.37191457955855234,6.447896031266874,1.787664074055101,0.18121103146876139,0.5798352659630309,852.6 -> 184.1,PCandSM,354402.145873474,414069.251892048,502881.408447162,453280.668151881,443088.872375522,545722.695861754,325876.217864976,311494.401702859,272652.633301272,233181.555847237,67702.864059399
PC (44:1),0.37263683054685864,3.788980408611671,1.794340360833047,0.1803982263821702,0.5798352659630309,900.7 -> 184.1,PCandSM,45661.3428344622,100874.147140579,76311.7446823927,60678.464630136,75415.9254455372,60462.3049010848,47659.863418571,57245.744342799,52703.484210987,54400.2644882058,6550.3604545576
PC (44:4),0.3700856083646627,4.2232988869177595,1.7700031788554043,0.1833816856301413,0.5798352659630309,894.7 -> 184.1,PCandSM,58092.124008193,162426.112121494,100756.348144652,75415.745849583,98209.107177751,77685.986289946,63485.564987167,73076.765335049,74944.3458366012,83950.485366806,5952.2604293821
PCo(42:6),0.3714522094744094,6.423042930698056,1.783233203810596,0.18175280831810384,0.5798352659630309,848.6 -> 184.1,PCandSM,343488.983642012,422078.251404195,484648.390319759,439781.731567284,439502.011444143,553492.861815985,312876.72042844,305053.100067143,250577.061248746,234881.117767286,67717.5059204641
PE (20:5),-0.36744845086427064,6.913813433224784,1.7451090818358352,0.1864927721839705,0.5798352659630309,500.2773 -> 359.2773,PE,498134.36059618,381285.3391113,295935.89978035,294866.82482916,435979.68688964,260464.1794435,1761813.66479484,241710.7192383,269836.71582042,112447.44812012,289730.49963378
PGo (40:2),0.36928209242865584,4.233961669028615,1.7623301517572827,0.18433413864678425,0.5798352659630309,834.6318 -> 645.6318,PG,80629.065155015,98388.047210658,104747.567565965,80594.56449892,90886.36697398,48547.002960202,74929.084960935,80908.725311342,67141.343841562,79401.505615239,19409.78153991
SM (d18:0/14:0),0.3698936040593888,6.435407497539294,1.7683432066478417,0.1835872532315578,0.5798352659630309,677.6 -> 184.1,PCandSM,441635.711669887,421615.148712115,445325.312255844,422315.866394037,511894.663024898,496082.93835453,330245.882568273,363348.80865476,328505.879333417,245464.140502924,18610.0613479619
SM (d18:1/14:0),0.3682846000250761,6.427854987031475,1.7530336296917999,0.1854958169380906,0.5798352659630309,675.5 -> 184.1,PCandSM,440226.430603093,435426.2852174,432539.046020688,420105.652221747,504786.340332,497236.376098597,323207.203918462,365887.743286085,322952.04687502,247199.578247207,17490.221374506
SM (d18:2/14:0),0.3686213841123192,6.4245110330991455,1.7562324746504596,0.18509513799262342,0.5798352659630309,673.5 -> 184.1,PCandSM,432843.316345282,427989.731079198,444675.171020545,414474.40728749,507793.508850078,501455.855407691,318155.148254521,367323.201782207,322298.783752382,241547.955017133,18314.9612884572
TAG(54:0)_FA 18:0,-0.3674365092642481,8.052034393737316,1.7450207525989754,0.18650391956172302,0.5798352659630309,908.9 -> 607.896,TAG1,376006.607364613,1266764.3818355,1247372.8154298,1076865.0703129,966508.505859,1175737.2900388,1244129.6328126,1203650.1611328,1325994.4931642,1253045.9316405,366303.625168011
TAG(54:3)_FA 20:0,-0.36757523825582283,4.741088487222704,1.746198544658455,0.18635534282288274,0.5798352659630309,902.8 -> 573.8,TAG2,27819.9420776395,98388.647033693,112753.02783206,183192.213409484,117215.348510754,155218.91186522,112836.9881592,127596.508728054,45544.443267826,228005.47705076,12788.080883027
TAG(54:8)_FA 16:0,-0.36911952059418746,8.200922092965156,1.7610002097280812,0.18449980731567023,0.5798352659630309,892.7 -> 619.7,TAG1,561979.919555613,1144919.78027335,1208251.8095705,1067288.92724594,1065385.38574229,1226890.7460936,1264057.9121093,1205879.8691409,1381978.7089841,1344779.08105487,594875.320373492
TAG(58:4)_FA 16:0,-0.36743484330849463,3.380711920443727,1.7445502548036063,0.18656331064973652,0.5798352659630309,956.9 -> 683.9,TAG1,23374.8816337615,37813.802764891,38284.242340079,37887.402526867,35567.342468258,45517.263122542,41836.862915042,53674.144042967,48476.623382573,32626.522262566,23499.1817855823
TAG(60:9)_FA 16:0,-0.36989003794985886,4.219056168228887,1.7680941682534694,0.18361811668908043,0.5798352659630309,974.9 -> 701.9,TAG1,33898.1424713183,75292.48498538,67878.58459474,76971.02526856,61599.104797377,82884.98547363,79809.50561526,88406.266479525,87784.76599122,64558.804992687,39614.6026267806
TAG(54:1)_FA 18:1,-0.3640868809370149,8.680793372527027,1.7134390946594067,0.19053977285742063,0.590807164550878,906.8 -> 607.8,TAG1,607139.323791391,1905663.2089843,1933849.6367187,1710713.1542966,1431593.7578126,1803894.5019532,1986106.6875,1772532.4765623,2034153.6328125,1942395.5742187,586880.747405942
"Cholesteryl 11-hydroperoxy-eicosatetraenoate, 22:2 Cholesteryl ester, 20:1 Stigmasteryl ester, 20:2 Sitosteryl ester",-0.36340892893795723,3.482149973078071,1.7066939035664745,0.1914148820778217,0.5913511990030222,722.5744 -> 369.1,CE,39192.142730698,41395.3028640909,36006.3224334688,44550.1431312599,38513.3026313629,78490.6249771163,44857.4631729162,36873.882472982,50291.6034927236,49856.5234069759,15995.0610961898
PE (20:1),-0.36252680996483194,3.2259401272974295,1.698366151114953,0.192501787590863,0.5913511990030222,508.3399 -> 367.3399,PE,33725.522613534,32874.462387085,33391.422286981,33927.542327868,33801.722610474,51798.063919064,44259.363067634,41996.603088382,54023.203704829,28025.781768783,13076.0608100941
TAG(52:1)_FA 16:1,-0.36265721415259056,7.7556864294852765,1.7000351361130015,0.19228338213864668,0.5913511990030222,878.8 -> 607.8,TAG1,295942.540626616,1050551.4785155,1045739.54101549,853018.18261699,821341.3847656,938545.74755852,1047434.6240233,1012938.47753895,1186338.08691395,918315.72265629,279329.061653117
TAG(54:6)_FA 20:4,-0.36262862476232405,6.94696878239382,1.69975398702627,0.19232015338393824,0.5913511990030222,896.8 -> 575.8,TAG2,239525.07613762,459781.268768362,490887.535919072,646485.30517584,535871.13525389,1056409.41064435,643644.90576179,639094.92480469,242128.03759771,449562.54980492,111554.627319323
TAG(58:3)_FA 18:1,-0.3615185732401329,4.031920069924936,1.6891665983193889,0.19371086628635864,0.5923168290141775,958.9 -> 659.896,TAG2,38384.282997117,64795.324584946,61185.144287107,75658.52587891,67044.184661853,111658.96728518,91434.20605471,102321.687927238,36165.562473286,51639.36346434,18238.7611122107
TAG(58:5)_FA 16:0,-0.3615512629251217,3.445095857817063,1.689289780173766,0.19369461823051698,0.5923168290141775,954.8 -> 681.8,TAG1,22731.261672975,39735.342864967,41980.762695299,38023.182861323,37947.903015156,49394.443511972,42152.962768552,54816.983764644,49513.023437497,34176.082244885,25298.8618850656
PG (18:0),0.3611244067001601,7.318363729841171,1.6857207832144923,0.1941660260086103,0.592340595473272,530.3188 -> 341.3188,PG,1171238.928894,529768.223999535,471013.645141548,305182.299194382,740465.557098396,267814.48156743,433595.220977238,692919.012207136,732889.524627669,494286.925170464,363028.404327371
PC (44:8),0.35972775904773857,4.26096595388918,1.6725693071020942,0.19591475010105575,0.5936627256972578,886.6 -> 184.1,PCandSM,62200.564483648,164523.250694206,99317.526428295,73977.385177683,104284.587615973,84449.08551022,60141.26419069,77378.245880061,77158.365585303,84396.086662267,6576.0004272462
"PIo (32:1), PIp (32:0)",-0.3601394113752542,8.052230825182223,1.6765774047671584,0.19537985634782615,0.5936627256972578,812.5383 -> 535.5383,PI,837592.27929638,1664389.35375978,1206945.52514667,731017.69238264,1039142.42749086,1251959.90332023,2004679.98486375,1234510.05749519,1426101.65234365,1101575.31836025,51154.763488751
TAG(60:9)_FA 18:0,-0.35970689673819106,4.320215951203951,1.6723462334804535,0.19594457033965382,0.5936627256972578,974.9 -> 673.9,TAG1,43947.6829414114,79695.585510272,74784.585021964,73629.72509763,67188.68493653,83457.946167,89392.30664065,93168.36621094,93069.187377925,73171.925598124,42055.2431182795
C24:5,-0.35861113170942344,8.34446248794759,1.6624154191013076,0.19727751415934786,0.5943298555692845,353.3 -> 353.3,FFA,2152966.23434432,790066.051544102,769539.03199756,804286.619018507,1180313.44958554,720230.448516845,1019490.40867606,1106417.57495024,3202064.92117311,1692485.39669752,385752.227996798
TAG(58:2)_FA 18:1,-0.3590984231290201,5.15059374950442,1.666822097144177,0.1966847295584134,0.5943298555692845,960.9 -> 661.9,TAG2,81269.6454162774,128595.50878905,149737.16967773,171506.29223632,142189.289093011,226633.75659183,203005.99511721,227165.65576174,71740.5456466162,129516.12866212,36648.5024185119
TAG(60:0)_FA 18:0,-0.3584392346048302,4.778813145473321,1.6606807727159776,0.1975114323644148,0.5943298555692845,992.9 -> 691.9,TAG1,47397.8233375383,121845.088928247,111139.00715638,116131.148727414,95718.686676055,119525.988388071,120499.909256,132825.568633996,146920.929687504,101852.427520766,46323.1234817462
Cer(d14:1(4E)/24:0(2OH)),0.3580183091563566,5.425813545754821,1.6568555172407287,0.1980284209566026,0.5945343069082581,610.6 -> 208.3,CER,211254.854492261,226648.876159723,211534.715294054,188562.453483683,195942.094543466,156802.991638151,177701.952491764,117646.708343466,198460.613738971,166801.311355598,42214.8032379164
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",-0.3575013648021361,4.38172899619915,1.6519581473539802,0.19869262619187353,0.5951788169186438,718.6158 -> 369.1,CE,69769.065093994,70286.3454513576,61035.544586183,71817.545120236,71256.245407107,125816.289199825,70076.0451431196,69217.6650390699,100024.287460335,82457.5455627462,45309.4433364852
PE (16:1),-0.3566564827298651,7.873837250946221,1.6443854413446388,0.19972482850213868,0.5969202549364144,452.2773 -> 311.2773,PE,839533.465759362,740852.253417913,951680.102722274,1117304.0405268,1125051.84753468,1493149.3225716,1042856.54797352,1366879.41046083,1666911.24639836,659786.21276852,27241.681838981
