lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,40DN1,40DN2,40DN3,40DN4,40DN5,5DN1,5DN2,5DN3,5DN4,5DN5,SolventBlank1
TAG(60:8)_FA 18:2,0.34068458465641543,8.591783136916057,12.471186368095413,4.1327753110035985e-4,0.005653046228979922,976.9 -> 679.9,TAG2,73484.924560536,59612.48480224,108063.688537642,65258.604125959,72451.70471192,53550.4840049555,51979.5634422512,53306.2636032176,65588.765106212,55148.444458004,14474.2011070249
TAG(60:11)_FA 20:0,0.33473225137215906,7.928933533877461,12.029965613975605,5.235204215378511e-4,0.006914080049965414,970.9 -> 641.9,TAG2,46986.903167719,45852.923080459,44118.422790541,49331.583770757,48500.743347161,31352.882190707,33461.8224525433,35037.542633064,40548.002838104,32977.542236341,12032.3409233141
TAG(48:3)_FA 16:0,-0.3279027201712682,9.53657514940125,11.562620863913255,6.729093605288113e-4,0.008590809502751158,818.8 -> 545.8,TAG1,97733.407348722,106482.82739251,108400.367980925,127550.788879412,138359.26940916,158424.532714766,128943.949584921,116413.248107975,145540.310730005,121428.388305677,31719.7424773977
TAG(58:10)_FA 16:0,0.3256462454638858,8.402326833923057,11.39277775065716,7.373019737367043e-4,0.009109246965843799,944.8 -> 671.8,TAG1,53561.223846438,61826.083557102,58077.304809583,65730.084472653,62739.48382564,41538.842864985,45738.943176273,45125.72283933,45819.063293495,45299.903076167,30070.5621833703
TAG(52:4)_FA 16:1,-0.309644776388203,11.517859472409551,10.318753579442273,0.001316851936834951,0.01576107161899332,872.8 -> 601.8,TAG1,478870.98876934,428547.38867154,366695.80541975,491941.37622063,532270.75927726,444811.04687499,595479.78149442,497389.85986328,550998.77807627,548374.14062512,124780.229213698
TAG(60:5)_FA 16:1,0.3074812681113456,7.594126759048976,10.14614407776287,0.0014460339128915005,0.01666634004164482,982.9 -> 711.9,TAG1,30170.002090457,38149.18228151,32922.542449942,30728.401794422,38173.36289977,24741.041580196,24643.901702879,27670.042083726,26742.261993403,23851.841644293,17949.8413391122
TAG(60:7)_FA 20:4,0.30669215210785566,7.990202310455641,10.103950264980316,0.0014795184371172948,0.01666634004164482,978.9 -> 657.9,TAG2,44380.263183573,44739.483459467,69701.905456563,42072.502960221,46204.962921113,36025.802265125,33651.3223838718,36119.262428281,48010.423736555,33514.402404786,9416.6006736745
TAG(58:6)_FA 16:0,0.30407702936487496,9.024183885426451,9.942712506364956,0.0016148741528701277,0.017565744256316997,952.8 -> 679.8,TAG1,94714.246948212,97018.525329558,89966.70581048,92288.206054684,105959.28784181,66765.284728991,69556.725036609,71548.965332036,74282.50512693,78221.96533206,35730.3422889583
TAG(60:3)_FA 20:0,0.3036019266429971,7.9995184279328315,9.901893254609831,0.0016510882329697437,0.017565744256316997,986.9 -> 657.9,TAG2,52544.563659652,39403.7825927805,61300.404174809,45108.52325439,50877.06326295,37486.8025550797,33893.5027122459,36880.5825309696,47563.4830093356,32875.1023101745,9458.5207290657
TAG(52:6)_FA 18:1,-0.28151539581141183,9.031983084118488,8.524612557598973,0.0035037533301948615,0.03626858176931438,868.7 -> 569.7,TAG1,81436.806182862,87058.085876477,75167.765380877,85203.566467297,74480.105407704,70450.664916979,105446.107360814,81786.905151365,99681.727844221,99808.226989729,28466.94202043
TAG(48:2)_FA 16:0,-0.2669074732014832,10.675581990000051,7.669512033779484,0.0056161643048543075,0.056605024441031576,820.8 -> 547.8,TAG1,222255.39624023,242104.33715824,223848.4155274,270530.03833007,302985.68359392,242565.8571777,285211.29980463,272212.42309565,336685.98217775,271754.75708009,99298.4867210266
TAG(60:11)_FA 18:1,0.26507123475746436,7.985253675258166,7.550566200303252,0.005999122172397404,0.05891445620585143,970.9 -> 671.9,TAG2,39593.982513418,43605.90307618,55876.944458038,46014.223022458,49670.00335693,34923.6024589355,35636.7425727903,33210.1223373348,41762.483001704,36222.802398688,14905.5610923746
TAG(48:3)_FA 16:1,-0.26286356734745575,10.687724845488527,7.439200695402519,0.006381822757013207,0.0596155638033185,818.8 -> 547.8,TAG1,225761.2758789,246531.2004394,223931.39624028,270847.66064445,301836.36084005,247241.53686527,287083.13867208,285230.06225587,334356.84472686,259170.61743172,103614.34692002
TAG(58:0)_FA 20:4,0.2634690022971184,8.114333611753375,7.461571299768366,0.006302996550496026,0.0596155638033185,964.9 -> 643.9,TAG2,53910.984008769,45243.843109144,63336.884460429,48092.34346007,54447.163452127,40047.3224601945,40702.582672091,41855.142791744,47182.363555901,36112.362686138,11137.5008811925
TAG(60:4)_FA 18:2,0.2602204163501926,8.403798008204204,7.281574290132127,0.006966545547691468,0.06352826058966267,984.9 -> 687.9,TAG2,58825.203491208,47536.7634391526,104709.446716295,55337.023773179,58715.404479961,52272.4433403246,46782.2033958299,46729.0634384331,59691.803894025,48504.883483875,11973.7007904057
TAG(60:0)_FA 20:0,-0.24680557541496367,13.026111685333152,6.560931511048693,0.010424178500270921,0.09284791547915727,992.9 -> 663.9,TAG2,1920771.02504308,989272.694404508,1230197.14108702,1751931.610126,1244782.01979445,2055088.90727236,2798379.58075733,929307.51885596,1020029.32014538,1018930.39852147,22974.0015487575
TAG(60:12)_FA 18:2,0.24458180559838724,7.992886166236506,6.430080620115547,0.01122034856521376,0.09766803410174704,968.9 -> 671.9,TAG2,39525.442901561,44760.883163467,52625.123962402,48913.864196757,53400.38385012,35904.082553847,37322.6424217138,35072.142394992,42255.423065179,36889.44277955,12468.1407852181
TAG(52:4)_FA 16:0,-0.24026206962721786,10.722831068705606,6.216507399024522,0.012656454257818252,0.10772048846098646,872.8 -> 599.8,TAG1,222351.33642582,274870.77966302,246324.71643068,329934.24499519,321841.42468263,234437.37792987,358214.70812983,277055.49743646,336586.04309073,320414.88317877,48365.3032607804
TAG(60:0)_FA 20:4,0.23927990668386057,7.829850485874023,6.153255694635135,0.013117041615050755,0.10921362909922692,992.9 -> 671.9,TAG2,38490.342803953,35700.2621459996,55247.464599599,39449.162368753,46400.1835861052,34660.5627441199,30485.4021644529,33468.0424156246,42417.0430641087,29093.28195954,9694.9607620259
